"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường đôi";"1 giường tầng";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi và 1 giường lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 nệm futon";"1 phòng tắm";"14 m²";"15 m²";"16 m²";"2 giường đôi lớn";"2 giường đơn";"2 phòng ngủ";"20 m²";"24 m²";"25 m²";"28 m²";"30 m²";"33 m²";"35 m²";"64 m²";"70 m²";"Ban công/sân hiên";"Bồn tắm";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Quạt";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Tối đa 1 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (1-11 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"61349581";"Nhà riêng 64 m² 1 phòng ngủ, 1 phòng tắm riêng ở Bình Long (Snow Trinh Homestay)";"Tổ 12 khu phố 3, phường Minh Hưng, Thị x Chơn Th nh , Bình Long, Bình Long (Bình Phước), Việt Nam, 831505";"Nhà riêng (home)";"2 người lớn & 1 trẻ em (0-7 tuổi)";"593.479";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"68166059";"Hoang Hung Hotel";"Ap 3B Quoc lo 13, Bình Long, Bình Long (Bình Phước), Việt Nam";"Phòng Cơ Bản Giường Đôi (Basic Double Room)";"2 người lớn";"647.263";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"48728667";"Khách sạn Tân Hạnh (KHACH SAN TAN HANH)";"Số 179, Đường Nguyễn Tất Th nh, Khu phố 05, Phường Long Phước, Phước Long, Phước Long (Bình Phước), Việt Nam, 830000";"Phòng Tiêu Chuẩn (Standard Room)";"2 người lớn";"392.752";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"48728667";"Khách sạn Tân Hạnh (KHACH SAN TAN HANH)";"Số 179, Đường Nguyễn Tất Th nh, Khu phố 05, Phường Long Phước, Phước Long, Phước Long (Bình Phước), Việt Nam, 830000";"Tiêu chuẩn - 1 giường đôi (Standard - 1 Double Bed)";"2 người lớn & 1 trẻ em (1-11 tuổi)";"431.232";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
"48728667";"Khách sạn Tân Hạnh (KHACH SAN TAN HANH)";"Số 179, Đường Nguyễn Tất Th nh, Khu phố 05, Phường Long Phước, Phước Long, Phước Long (Bình Phước), Việt Nam, 830000";"Tiêu chuẩn - 1 giường đôi (Standard - 1 Double Bed)";"2 người lớn & 1 trẻ em (1-11 tuổi)";"496.000";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
"32608064";"Khách sạn Binh Long (Binh Long Hotel)";"207 Trần Hưng Đạo, Khu Phố Phú Nghĩa, Phường Phú Đức, Thị Xã Bình Long, Tỉnh Bình Phước, Binh Long Hotel, Bình Long, Bình Long (Bình Phước), Việt Nam";"Phòng Tiêu Chuẩn (Standard)";"2 người lớn";"459.559";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1"
"32608064";"Khách sạn Binh Long (Binh Long Hotel)";"207 Trần Hưng Đạo, Khu Phố Phú Nghĩa, Phường Phú Đức, Thị Xã Bình Long, Tỉnh Bình Phước, Binh Long Hotel, Bình Long, Bình Long (Bình Phước), Việt Nam";"Phòng Tiêu Chuẩn (Standard)";"1 người lớn Vượt quá sức chứa phòng";"275.736";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1"
"32608064";"Khách sạn Binh Long (Binh Long Hotel)";"207 Trần Hưng Đạo, Khu Phố Phú Nghĩa, Phường Phú Đức, Thị Xã Bình Long, Tỉnh Bình Phước, Binh Long Hotel, Bình Long, Bình Long (Bình Phước), Việt Nam";"Giường đôi - 2 người (Double - 2pax)";"2 người lớn";"505.515";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1"
"32608064";"Khách sạn Binh Long (Binh Long Hotel)";"207 Trần Hưng Đạo, Khu Phố Phú Nghĩa, Phường Phú Đức, Thị Xã Bình Long, Tỉnh Bình Phước, Binh Long Hotel, Bình Long, Bình Long (Bình Phước), Việt Nam";"Phòng Đôi Loại Sang (Deluxe Double Room)";"2 người lớn";"597.427";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
"79972415";"Ladona Farmstay";"Ladona Farmstay, Đồng Xoài, Dồng Xoài, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn";"500.000";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1"
