"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn hoặc 2 giường đơn";"1 giường đôi";"1 giường đôi lớn";"1 giường đơn";"15 m²";"2 giường đôi";"2 giường đơn";"20 m²";"22 m²";"25 m²";"3 giường đơn";"30 m²";"32 m²";"33 m²";"35 m²";"38 m²";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ mở";"Hướng Bể bơi";"Hướng Không có cửa sổ";"Hướng Ngoài trời";"Hướng Thành phố";"Hướng Vườn";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Trà miễn phí";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-10 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"Điều hòa";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước";"Ấm nước điện"
"2542981";"Muong Thanh Luxury Ha Nam Hotel";"Khu đất phía bắc Cầu Hồng Phú, Phường Quang Trung, Tp Phủ Lý, Tỉnh Hà Nam, Quang Trung, Phủ Lý (Hà Nam), Việt Nam, 400000";"Deluxe Twin - 2 Giường Đơn (Deluxe Twin - 2 Single Beds)";"2 người lớn";"1.203.130";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"2542981";"Muong Thanh Luxury Ha Nam Hotel";"Khu đất phía bắc Cầu Hồng Phú, Phường Quang Trung, Tp Phủ Lý, Tỉnh Hà Nam, Quang Trung, Phủ Lý (Hà Nam), Việt Nam, 400000";"Deluxe Twin - 2 Giường Đơn (Deluxe Twin - 2 Single Beds)";"2 người lớn & 2 trẻ em (0-5 tuổi)";"1.249.714";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"2542981";"Muong Thanh Luxury Ha Nam Hotel";"Khu đất phía bắc Cầu Hồng Phú, Phường Quang Trung, Tp Phủ Lý, Tỉnh Hà Nam, Quang Trung, Phủ Lý (Hà Nam), Việt Nam, 400000";"Deluxe Twin - 2 Giường Đơn (Deluxe Twin - 2 Single Beds)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"1.388.889";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"2542981";"Muong Thanh Luxury Ha Nam Hotel";"Khu đất phía bắc Cầu Hồng Phú, Phường Quang Trung, Tp Phủ Lý, Tỉnh Hà Nam, Quang Trung, Phủ Lý (Hà Nam), Việt Nam, 400000";"Deluxe - 3 người (Deluxe - Triple occupancy)";"2 người lớn";"1.567.850";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"2542981";"Muong Thanh Luxury Ha Nam Hotel";"Khu đất phía bắc Cầu Hồng Phú, Phường Quang Trung, Tp Phủ Lý, Tỉnh Hà Nam, Quang Trung, Phủ Lý (Hà Nam), Việt Nam, 400000";"Deluxe - 3 người (Deluxe - Triple occupancy)";"3 người lớn & 2 trẻ em (0-5 tuổi)";"1.627.914";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"2542981";"Muong Thanh Luxury Ha Nam Hotel";"Khu đất phía bắc Cầu Hồng Phú, Phường Quang Trung, Tp Phủ Lý, Tỉnh Hà Nam, Quang Trung, Phủ Lý (Hà Nam), Việt Nam, 400000";"Deluxe - 3 người (Deluxe - Triple occupancy)";"2 người lớn";"1.775.663";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"2542981";"Muong Thanh Luxury Ha Nam Hotel";"Khu đất phía bắc Cầu Hồng Phú, Phường Quang Trung, Tp Phủ Lý, Tỉnh Hà Nam, Quang Trung, Phủ Lý (Hà Nam), Việt Nam, 400000";"Deluxe - 3 người (Deluxe - Triple occupancy)";"3 người lớn & 1 trẻ em (0-5 tuổi)";"1.805.556";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"41344799";"Khách sạn Riverside Hà Nam (Riverside Hotel Hà Nam)";"Lê Hoàn, Tp. Phủ Lý, Hai Bà Trưng, Phủ Lý (Hà Nam), Việt Nam, 400000";"Phòng Superior giường King (Superior King Room)";"2 người lớn & 1 trẻ em (0-2 tuổi)";"730.040";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"41344799";"Khách sạn Riverside Hà Nam (Riverside Hotel Hà Nam)";"Lê Hoàn, Tp. Phủ Lý, Hai Bà Trưng, Phủ Lý (Hà Nam), Việt Nam, 400000";"Phòng Superior giường King (Superior King Room)";"2 người lớn & 1 trẻ em (0-2 tuổi)";"767.857";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"41344799";"Khách sạn Riverside Hà Nam (Riverside Hotel Hà Nam)";"Lê Hoàn, Tp. Phủ Lý, Hai Bà Trưng, Phủ Lý (Hà Nam), Việt Nam, 400000";"Phòng Superior giường King (Superior King Room)";"2 người lớn";"967.500";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1"
