"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường sofa";"1 giường lớn và 1 giường sofa";"1 giường sofa / 1 giường đôi";"1 giường đôi";"1 giường đôi / 1 giường đơn";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường sofa";"1 giường đôi lớn / 1 giường đôi lớn";"1 giường đôi lớn và 1 giường đơn hoặc 3 giường đơn";"1 giường đôi nhỏ / 1 giường sofa";"1 giường đơn";"1 phòng tắm";"17 m²";"2 giường đôi";"2 giường đôi lớn / 1 giường đơn";"2 giường đơn";"2 giường đơn hoặc 1 giường đôi";"2 phòng ngủ";"2 phòng tắm";"20 m²";"22 m²";"23 m²";"25 m²";"26 m²";"3 giường đơn";"30 m²";"32 m²";"33 m²";"34 m²";"35 m²";"37 m²";"38 m²";"45 m²";"52 m²";"55 m²";"70 m²";"93 m²";"Ban công/sân hiên";"Bể bơi riêng";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ mở";"Giường cực dài";"Hành lang ngoài";"Hướng Công viên";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Sông";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng thay đồ";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Truy cập Internet - không dây";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 1 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-2 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn, 3 bé (0-2 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng cao";"Điều hòa";"Điều hòa cá nhân";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước";"Ấm nước điện"
"79917776";"Khách sạn Sông Lô (Khách Sạn Sông Lô)";"281 Bùi Thị Xuân, Hải Dương, Hải Dương, Việt Nam";"Phòng Standard giường đôi (Standard Double Room)";"2 người lớn";"314.881";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"79917776";"Khách sạn Sông Lô (Khách Sạn Sông Lô)";"281 Bùi Thị Xuân, Hải Dương, Hải Dương, Việt Nam";"Phòng Standard giường đôi (Standard Double Room)";"2 người lớn";"370.370";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"79917776";"Khách sạn Sông Lô (Khách Sạn Sông Lô)";"281 Bùi Thị Xuân, Hải Dương, Hải Dương, Việt Nam";"Phòng Đôi Tiêu Chuẩn Có 2 Giường Đôi (Standard Double Room with Two Double Beds)";"2 người lớn";"462.963";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0"
"79917776";"Khách sạn Sông Lô (Khách Sạn Sông Lô)";"281 Bùi Thị Xuân, Hải Dương, Hải Dương, Việt Nam";"Phòng Đôi Tiêu Chuẩn Có 2 Giường Đôi (Standard Double Room with Two Double Beds)";"4 người lớn";"546.114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0"
"79917776";"Khách sạn Sông Lô (Khách Sạn Sông Lô)";"281 Bùi Thị Xuân, Hải Dương, Hải Dương, Việt Nam";"Phòng Loại Sang (Deluxe Room)";"2 người lớn";"545.056";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0"
"79917776";"Khách sạn Sông Lô (Khách Sạn Sông Lô)";"281 Bùi Thị Xuân, Hải Dương, Hải Dương, Việt Nam";"Phòng Loại Sang (Deluxe Room)";"2 người lớn";"555.556";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0"
"58890133";"Khách sạn & Căn hộ Mandala Hải Dương (Mandala Hotel & Suites Hai Duong)";"Toa nha Apec Mandala Hai Duong, nga tu Le Thanh Nghi, phuong Tan Hung, thanh pho Hai Phong, Hải Dương, Hải Dương, Việt Nam, 170000";"Căn Hộ - 2 Phòng Ngủ Cho 2 Người (Apartment - 2 Bedrooms for 2 People)";"2 người lớn";"2.084.201";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"58890133";"Khách sạn & Căn hộ Mandala Hải Dương (Mandala Hotel & Suites Hai Duong)";"Toa nha Apec Mandala Hai Duong, nga tu Le Thanh Nghi, phuong Tan Hung, thanh pho Hai Phong, Hải Dương, Hải Dương, Việt Nam, 170000";"Căn Hộ - 2 Phòng Ngủ Cho 3 Người (Apartment - 2 Bedrooms for 3 People)";"3 người lớn";"2.570.084";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0"
"64584425";"Apec Mandala Wyndham ( Apec Mandala Wyndham)";"8/346 Yết Kiêu, P. Hải Tân, tòa apec mall, Hải Dương, Hải Dương, Việt Nam";"Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment)";"3 người lớn";"814.815";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
"59315156";"Khách sạn YO (YO Hotel)";"No. 22 Dao Dao, Binh Han Ward, Hai Duong City, Hải Dương, Hải Dương, Việt Nam";"Phòng Cao Cấp Cho Hai Người (Superior Double Room)";"2 người lớn";"580.259";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1"
