"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường lớn / 1 giường đôi lớn";"1 giường lớn / 1 giường đôi lớn / 1 giường đôi lớn";"1 giường đôi";"1 giường đôi / 1 giường đơn";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường lớn / 1 giường sofa";"1 giường đôi lớn / 1 giường sofa";"1 giường đôi lớn / 1 giường đôi lớn / 1 giường đôi lớn";"1 giường đôi lớn hoặc 2 giường đơn";"1 giường đơn";"1 giường đơn và 1 giường đôi";"1 phòng tắm";"110 m²";"12 m²";"120 m²";"13 m²";"14 m²";"15 m²";"16 m²";"18 m²";"19 m²";"2 giường đôi";"2 giường đôi / 2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 nệm futon";"2 phòng ngủ";"2 phòng tắm";"20 m²";"22 m²";"23 m²";"24 m²";"25 m²";"26 m²";"270 m²";"28 m²";"3 phòng ngủ";"3 phòng tắm";"30 m²";"31 m²";"33 m²";"4 phòng tắm";"43 m²";"50 m²";"60 m²";"66 m²";"80 m²";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ có thể mở ra";"Cửa sổ mở";"Hành lang ngoài";"Hướng Không có cửa sổ";"Hướng Ngoài trời";"Hướng Sông";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Phòng xông khô";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Truy cập Internet - không dây";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tối đa 6 người lớn";"Tối đa 8 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng thượng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Đồ uống mời khách miễn phí";"Ấm nước";"Ấm nước điện"
"61615461";"Khách sạn Central Plaza - Mỹ Tho (CENTRAL PLAZA HOTEL - MY THO)";"15b - 19 Ba Mươi Th ng Tư, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam, 8600000";"Phòng Hai Giường Đơn Cao Cấp Hướng Thành Phố (Superior Twin Room with City View)";"2 người lớn";"1.235.626";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"61615461";"Khách sạn Central Plaza - Mỹ Tho (CENTRAL PLAZA HOTEL - MY THO)";"15b - 19 Ba Mươi Th ng Tư, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam, 8600000";"Phòng Hai Giường Đơn Cao Cấp Hướng Thành Phố (Superior Twin Room with City View)";"2 người lớn";"1.343.598";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"61615461";"Khách sạn Central Plaza - Mỹ Tho (CENTRAL PLAZA HOTEL - MY THO)";"15b - 19 Ba Mươi Th ng Tư, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam, 8600000";"Phòng Hai Giường Đơn Cao Cấp Hướng Thành Phố (Superior Twin Room with City View)";"2 người lớn";"1.464.505";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"61615461";"Khách sạn Central Plaza - Mỹ Tho (CENTRAL PLAZA HOTEL - MY THO)";"15b - 19 Ba Mươi Th ng Tư, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam, 8600000";"Phòng Superior Giường Đôi Nhìn Ra Thành Phố (Superior Double Room with City View)";"2 người lớn";"1.303.609";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"61615461";"Khách sạn Central Plaza - Mỹ Tho (CENTRAL PLAZA HOTEL - MY THO)";"15b - 19 Ba Mươi Th ng Tư, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam, 8600000";"Phòng Superior Giường Đôi Nhìn Ra Thành Phố (Superior Double Room with City View)";"2 người lớn";"1.344.176";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"61615461";"Khách sạn Central Plaza - Mỹ Tho (CENTRAL PLAZA HOTEL - MY THO)";"15b - 19 Ba Mươi Th ng Tư, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam, 8600000";"Phòng Superior Giường Đôi Nhìn Ra Thành Phố (Superior Double Room with City View)";"2 người lớn";"1.465.520";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"1160655";"Khách sạn Mekong Mỹ Tho (Mekong My Tho Hotel )";"1A Tết Mậu Thân, Phường 4, TP Mỹ Tho, Tiền Giang, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam";"Phòng Deluxe 2 Giường đơn (Deluxe Twin)";"2 người lớn";"895.047";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"1160655";"Khách sạn Mekong Mỹ Tho (Mekong My Tho Hotel )";"1A Tết Mậu Thân, Phường 4, TP Mỹ Tho, Tiền Giang, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam";"Deluxe giường đôi (Deluxe Double)";"2 người lớn";"895.047";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"70922994";"Khách sạn Bamboo Riverside Boutique (Bamboo Riverside Boutique Hotel)";"567 Tan An Thượng , Tân Thạch, Bến Tre, Việt Nam, 86000";"Superior giường King Hướng phố (Superior King City View)";"2 người lớn";"793.575";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"70922994";"Khách sạn Bamboo Riverside Boutique (Bamboo Riverside Boutique Hotel)";"567 Tan An Thượng , Tân Thạch, Bến Tre, Việt Nam, 86000";"Superior giường King Hướng phố (Superior King City View)";"2 người lớn & 1 trẻ em (1-6 tuổi)";"925.926";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
