"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường đôi lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn và 1 giường đôi";"15 m²";"16 m²";"17 m²";"2 giường lớn";"2 giường đôi";"2 giường đơn";"20 m²";"23 m²";"25 m²";"30 m²";"32 m²";"35 m²";"80 m²";"Ban công/sân hiên";"Bồn tắm/vòi sen riêng";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ mở";"Giường cực dài";"Hướng Ngoài trời";"Hướng Núi";"Hướng Thành phố";"Hướng Vườn";"Internet mạng LAN trong phòng [miễn phí]";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Quạt";"Rèm che ánh sáng";"Rượu";"Truy cập Internet - không dây";"Trà miễn phí";"Tối đa 1 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn, 1 bé (0-17 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"bồn tắm lộ thiên";"phòng tắm riêng";"tầng cao";"Điều hòa";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"255004";"Khách Sạn Mường Thanh Luxury Lạng Sơn (Muong Thanh Luxury Lang Son Hotel)";"68 Đường Ngô Quyền, Phường Vĩnh Trại, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe 2 Giường Đơn (Deluxe Twin Bed)";"2 người lớn";"1.104.840";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"255004";"Khách Sạn Mường Thanh Luxury Lạng Sơn (Muong Thanh Luxury Lang Son Hotel)";"68 Đường Ngô Quyền, Phường Vĩnh Trại, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe 2 Giường Đơn (Deluxe Twin Bed)";"2 người lớn";"1.159.521";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"255004";"Khách Sạn Mường Thanh Luxury Lạng Sơn (Muong Thanh Luxury Lang Son Hotel)";"68 Đường Ngô Quyền, Phường Vĩnh Trại, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe 2 Giường Đơn (Deluxe Twin Bed)";"2 người lớn";"1.275.132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"255004";"Khách Sạn Mường Thanh Luxury Lạng Sơn (Muong Thanh Luxury Lang Son Hotel)";"68 Đường Ngô Quyền, Phường Vĩnh Trại, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe Giường đôi (Deluxe Double Bed)";"2 người lớn";"1.104.840";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"255004";"Khách Sạn Mường Thanh Luxury Lạng Sơn (Muong Thanh Luxury Lang Son Hotel)";"68 Đường Ngô Quyền, Phường Vĩnh Trại, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe Giường đôi (Deluxe Double Bed)";"2 người lớn";"1.159.521";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"255004";"Khách Sạn Mường Thanh Luxury Lạng Sơn (Muong Thanh Luxury Lang Son Hotel)";"68 Đường Ngô Quyền, Phường Vĩnh Trại, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe Giường đôi (Deluxe Double Bed)";"2 người lớn";"1.275.132";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Deluxe Twin City View, Guest room, 2 Twin, City view (Deluxe Twin City View, Guest Room, 2 Twin, City View)";"2 người lớn";"980.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Deluxe Twin City View, Guest room, 2 Twin, City view (Deluxe Twin City View, Guest Room, 2 Twin, City View)";"2 người lớn";"980.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Deluxe Twin City View, Guest room, 2 Twin, City view (Deluxe Twin City View, Guest Room, 2 Twin, City View)";"2 người lớn";"1.280.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Deluxe Twin City View, Guest room, 2 Twin, City view (Deluxe Twin City View, Guest Room, 2 Twin, City View)";"3 người lớn";"1.780.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
