"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn và 1 giường sofa";"1 giường siêu lớn";"1 giường đôi";"1 giường đôi / 1 giường đôi";"1 giường đôi hoặc 2 giường đơn";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường sofa";"1 giường đôi lớn / 1 giường đôi lớn / 1 giường đôi lớn / 1 giường đôi lớn / 1 giường sofa";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn và 1 giường lớn";"1 giường đơn và 2 giường lớn";"1 phòng tắm";"18 m²";"2 giường siêu lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 phòng ngủ";"2 phòng tắm";"20 m²";"21 m²";"23 m²";"24 m²";"25 m²";"26 m²";"3 giường đôi lớn";"3 giường đơn";"30 m²";"35 m²";"4 phòng ngủ";"40 m²";"44 m²";"48 m²";"80 m²";"9 giường đôi / 2 giường đơn";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Cà phê hòa tan miễn phí";"Giường cực dài";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Sông";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Internet mạng LAN trong phòng [miễn phí]";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Phòng xông khô";"Rèm che ánh sáng";"Rượu";"Studio/1 phòng ngủ";"Trái cây/đồ ăn vặt";"Tối đa 1 người lớn";"Tối đa 10 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (6-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 1 bé (6-12 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 5 người lớn";"Tối đa 6 người lớn";"Tối đa 6 người lớn, 3 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Đồ dùng cho giấc ngủ thoải mái";"Đồ uống mời khách miễn phí";"Ấm nước";"Ấm nước điện"
"75528052";"Khách sạn New Sun Nam Định (NEW SUN NAM ĐỊNH HOTEL)";"20 Trần Anh T ng, Nam Định, Nam Ðịnh, Việt Nam, 07117";"Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin)";"2 người lớn";"379.688";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0"
"75528052";"Khách sạn New Sun Nam Định (NEW SUN NAM ĐỊNH HOTEL)";"20 Trần Anh T ng, Nam Định, Nam Ðịnh, Việt Nam, 07117";"Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin)";"2 người lớn";"421.875";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0"
"75528052";"Khách sạn New Sun Nam Định (NEW SUN NAM ĐỊNH HOTEL)";"20 Trần Anh T ng, Nam Định, Nam Ðịnh, Việt Nam, 07117";"Phòng Tiêu Chuẩn (Standard Room)";"2 người lớn";"427.874";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0"
"64096515";"Khách sạn P&L (Khach san P&L)";"4 Mỹ Trọng, Nam Định, Nam Ðịnh, Việt Nam, 420000";"Phòng Giường Đôi/2 Giường Đơn Với Ban Công (Double or Twin Room with Balcony)";"3 người lớn";"416.667";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1"
"64096515";"Khách sạn P&L (Khach san P&L)";"4 Mỹ Trọng, Nam Định, Nam Ðịnh, Việt Nam, 420000";"Phòng Gia Đình Giường Đôi (Family Double Room)";"5 người lớn";"462.963";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1"
"64096515";"Khách sạn P&L (Khach san P&L)";"4 Mỹ Trọng, Nam Định, Nam Ðịnh, Việt Nam, 420000";"Suite Nhìn Ra Thành Phố (Suite with City View)";"2 người lớn";"583.333";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1"
"64096515";"Khách sạn P&L (Khach san P&L)";"4 Mỹ Trọng, Nam Định, Nam Ðịnh, Việt Nam, 420000";"Suite Nhìn Ra Thành Phố (Suite with City View)";"2 người lớn";"648.148";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1"
"64096515";"Khách sạn P&L (Khach san P&L)";"4 Mỹ Trọng, Nam Định, Nam Ðịnh, Việt Nam, 420000";"Suite Nhìn Ra Thành Phố (Suite with City View)";"1 người lớn Vượt quá sức chứa phòng";"583.333";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1"
"14953986";"Khách sạn Wiltons (The Wiltons Hotel)";"32 Hồ Xuân Hương, Nam Định, Nam Ðịnh, Việt Nam, 07000";"Giường đôi VIP (Double VIP)";"2 người lớn & 1 trẻ em (6-12 tuổi)";"511.414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1"
"14953986";"Khách sạn Wiltons (The Wiltons Hotel)";"32 Hồ Xuân Hương, Nam Định, Nam Ðịnh, Việt Nam, 07000";"Giường đôi VIP (Double VIP)";"2 người lớn";"601.852";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1"
