"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn và 1 giường sofa";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đôi và 2 giường đôi lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"20 m²";"21 m²";"22 m²";"24 m²";"28 m²";"3 giường đôi và 3 giường đôi lớn";"3 giường đơn";"30 m²";"31 m²";"35 m²";"50 m²";"6 giường đôi lớn";"7 phòng tắm";"Ban công/sân hiên";"Bồn tắm";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ có thể mở ra";"Hành lang ngoài";"Hướng Ngoài trời";"Hướng Sông";"Hướng Thành phố";"Hướng Vườn";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm đứng";"Rèm che ánh sáng";"Truy cập Internet - không dây";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước";"Ấm nước điện"
"71661850";"Khách sạn Mỹ Cảng Trà Vinh (Hotel Mỹ Cảng Trà Vinh)";"251 Đường 30 Tháng 4, Long Đức, Trà Vinh, Trà Vinh, Việt Nam, 941162";"Phòng Tiêu Chuẩn (Standard Room)";"2 người lớn & 1 trẻ em (0-1 tuổi)";"449.208";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0"
"71661850";"Khách sạn Mỹ Cảng Trà Vinh (Hotel Mỹ Cảng Trà Vinh)";"251 Đường 30 Tháng 4, Long Đức, Trà Vinh, Trà Vinh, Việt Nam, 941162";"Phòng Loại Sang (Deluxe Room)";"2 người lớn & 1 trẻ em (0-1 tuổi)";"565.216";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"44689064";"Hotel Thuý Nguyễn (Hotel Thuy Nguyen)";"354 Đường Đồng Khởi nối dài, khóm 1 phường 9, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn";"270.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1"
"44689064";"Hotel Thuý Nguyễn (Hotel Thuy Nguyen)";"354 Đường Đồng Khởi nối dài, khóm 1 phường 9, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn";"350.000";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"44689064";"Hotel Thuý Nguyễn (Hotel Thuy Nguyen)";"354 Đường Đồng Khởi nối dài, khóm 1 phường 9, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Ba Người (Triple Room)";"3 người lớn";"410.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"47340302";"HOTEL VĂN THÁI BÌNH (HOTEL VAN THAI BINH)";"44 Lê Lợi, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn";"300.000";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"47340302";"HOTEL VĂN THÁI BÌNH (HOTEL VAN THAI BINH)";"44 Lê Lợi, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Giường Đôi Lớn (Large Double Room)";"2 người lớn";"360.000";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"47340302";"HOTEL VĂN THÁI BÌNH (HOTEL VAN THAI BINH)";"44 Lê Lợi, Trà Vinh, Trà Vinh, Việt Nam";"Phòng 4 Người (Quadruple Room)";"4 người lớn";"550.000";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1"
"67556051";"Bungalow Ven Sông (Bungalow Ven Song)";"309a Truong Van Kinh, Phu Hoa, Long Duc, Trà Vinh, Trà Vinh, Việt Nam, 87000";"Bungalow - Hướng vườn (Bungalow - Garden View)";"2 người lớn";"932.780";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"67556051";"Bungalow Ven Sông (Bungalow Ven Song)";"309a Truong Van Kinh, Phu Hoa, Long Duc, Trà Vinh, Trà Vinh, Việt Nam, 87000";"River King";"2 người lớn";"1.363.611";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1"
