hotel_id;hotel_name;hotel_address;room_type_name;option_name;option_price;1 giường lớn;1 giường đôi;1 giường đôi / 1 giường đôi;1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi lớn / 1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi nhỏ / 1 giường đôi / 1 giường đôi / 1 giường đôi lớn / 1 giường đơn;1 giường đôi lớn;1 giường đôi lớn / 1 giường đơn / 2 giường đôi lớn và 1 giường sofa;1 giường đôi nhỏ;1 giường đôi nhỏ / 1 giường đôi nhỏ / 1 giường đôi nhỏ / 1 giường đôi nhỏ / 1 giường đôi nhỏ / 1 giường đôi nhỏ / 1 giường đôi và 1 giường đơn / 1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi lớn / 1 giường đôi lớn / 1 giường đôi / 1 giường đơn / 1 giường đôi / 1 giường đôi;1 giường đơn;1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đôi lớn / 1 giường lớn / 1 giường lớn / 1 giường lớn / 1 giường đôi lớn / 1 giường đơn / 1 giường đôi lớn / 1 giường đôi lớn / 1 giường đôi lớn / 1 giường lớn;1 giường đơn hoặc 1 giường đôi lớn;1 giường đơn và 1 giường đôi;1 giường đơn và 1 giường đôi lớn;1 giường đơn và 1 giường đôi lớn hoặc 3 giường đơn;1 phòng tắm;100 m²;11 m²;14 phòng ngủ;15 m²;15 phòng ngủ;15 phòng tắm;16 m²;17 m²;18 m²;19 m²;2 giường lớn;2 giường đôi;2 giường đôi / 2 giường đôi;2 giường đôi lớn;2 giường đôi lớn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn;2 giường đơn;2 giường đơn hoặc 1 giường lớn;2 giường đơn hoặc 1 giường đôi;2 giường đơn hoặc 1 giường đôi lớn;2 phòng ngủ;2 phòng tắm;20 m²;21 m²;21 phòng tắm;22 m²;24 m²;25 m²;26 m²;28 m²;3 giường đơn;3 giường đơn và 1 giường đôi;3 phòng ngủ;3 phòng tắm;30 m²;32 m²;33 m²;35 m²;36 m²;39 m²;4 giường đơn và 2 giường đôi;4 phòng tắm;40 m²;42 m²;45 m²;5 phòng tắm;50 m²;500 m²;6 phòng ngủ;70 m²;700 m²;Ban công/sân hiên;Bể bơi riêng;Bồn tắm;Bồn tắm tạo sóng;Bồn tắm/vòi sen riêng;Cho phép hút thuốc;Chăn điện;Cà phê hòa tan miễn phí;Cửa sổ;Cửa sổ mở;Giường cực dài;Hành lang ngoài;Hướng Công viên;Hướng Hồ;Hướng Không có cửa sổ;Hướng Ngoài trời;Hướng Sân trong;Hướng Sông;Hướng Thiên nhiên;Hướng Thành phố;Hướng Vườn;Hướng Đường phố;Không hút thuốc;Máy sấy tóc;Nước đóng chai miễn phí;Phòng thay đồ;Phòng tắm chung;Phòng tắm đứng;Quạt;Rèm che ánh sáng;Rượu;Studio/1 phòng ngủ;Truy cập Internet - không dây;Trái cây/đồ ăn vặt;Tối đa 1 người lớn;Tối đa 1 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn;Tối đa 2 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 1 bé (0-10 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 1 bé (0-9 tuổi) ở MIỄN PHÍ!;Tối đa 20 người lớn;Tối đa 3 người lớn;Tối đa 3 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!;Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!;Tối đa 30 người lớn;Tối đa 4 người lớn;Tối đa 4 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!;Tối đa 4 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!;Tối đa 5 người lớn;Tối đa 6 người lớn;Tối đa 8 người lớn;Tủ lạnh;Tủ lạnh nhỏ trong phòng;Tủ quần áo;Vòi sen;Wi-Fi [miễn phí];phòng tắm riêng;tầng trệt;Điều hòa;Điều hòa cá nhân;Đồ dùng cho giấc ngủ thoải mái;Đồ gỗ ngoài trời;Ấm nước;Ấm nước điện
37843937;Khách sạn VIN (VIN HOTEL);MG1-03 & MG1-05A Vincom, Pham Thai Buong Street, Ward 4, Vinh Long City, Vĩnh Long, Vĩnh Long, Việt Nam, 85000;Phòng Đôi Tiêu Chuẩn (Standard Double Room);2 người lớn;416.667;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1
37843937;Khách sạn VIN (VIN HOTEL);MG1-03 & MG1-05A Vincom, Pham Thai Buong Street, Ward 4, Vinh Long City, Vĩnh Long, Vĩnh Long, Việt Nam, 85000;Phòng Đôi Tiêu Chuẩn (Standard Double Room);2 người lớn & 1 trẻ em (0-2 tuổi);452.897;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1
37843937;Khách sạn VIN (VIN HOTEL);MG1-03 & MG1-05A Vincom, Pham Thai Buong Street, Ward 4, Vinh Long City, Vĩnh Long, Vĩnh Long, Việt Nam, 85000;Tiêu chuẩn giường đôi (Double Standard Room);2 người lớn;416.667;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1
37843937;Khách sạn VIN (VIN HOTEL);MG1-03 & MG1-05A Vincom, Pham Thai Buong Street, Ward 4, Vinh Long City, Vĩnh Long, Vĩnh Long, Việt Nam, 85000;Tiêu chuẩn giường đôi (Double Standard Room);2 người lớn & 1 trẻ em (0-2 tuổi);452.897;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1
37843937;Khách sạn VIN (VIN HOTEL);MG1-03 & MG1-05A Vincom, Pham Thai Buong Street, Ward 4, Vinh Long City, Vĩnh Long, Vĩnh Long, Việt Nam, 85000;Tiêu Chuẩn - 1 Giường Đôi Lớn (Standard - 1 Queen Bed);2 người lớn & 1 trẻ em (0-2 tuổi);563.799;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0
67707562;Khách sạn RUBY Vĩnh Long (RUBY HOTEL Vinh Long);255 Nguyễn Văn Thiệt, Vĩnh Long, Vĩnh Long, Việt Nam;Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room);2 người lớn;333.333;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0
67707562;Khách sạn RUBY Vĩnh Long (RUBY HOTEL Vinh Long);255 Nguyễn Văn Thiệt, Vĩnh Long, Vĩnh Long, Việt Nam;Phòng Superior Có Giường Cỡ King (Superior King Room);2 người lớn;361.111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0
67707562;Khách sạn RUBY Vĩnh Long (RUBY HOTEL Vinh Long);255 Nguyễn Văn Thiệt, Vĩnh Long, Vĩnh Long, Việt Nam;Phòng 2 giường có ban công (Twin Room with Balcony);2 người lớn;453.704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0
22750715;Van Trang Hotel;3c hung dao vuong, phuong 1, thanh pho vinh long, Vĩnh Long, Vĩnh Long, Việt Nam, 02703;Phòng Loại Sang (Deluxe);2 người lớn;287.037;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1
22750715;Van Trang Hotel;3c hung dao vuong, phuong 1, thanh pho vinh long, Vĩnh Long, Vĩnh Long, Việt Nam, 02703;Phòng Đôi (Double Room);2 người lớn & 1 trẻ em (0-12 tuổi);333.333;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1
22750715;Van Trang Hotel;3c hung dao vuong, phuong 1, thanh pho vinh long, Vĩnh Long, Vĩnh Long, Việt Nam, 02703;Phòng Lớn 2 Giường Đơn (Large Twin Room);2 người lớn;351.852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1
