"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường sofa";"1 giường đôi";"1 giường đôi / 1 giường lớn / 1 giường đôi / 1 giường đôi lớn / 1 giường sofa và 2 nệm futon";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường đôi lớn";"1 giường đôi lớn và 2 nệm futon";"1 giường đơn";"1 giường đơn và 1 giường đôi";"1 phòng tắm";"12 m²";"120 m²";"130 m²";"14 m²";"16 m²";"18 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi / 2 giường đôi / 2 giường đôi lớn / 2 giường đôi lớn / 1 giường đơn";"2 giường đôi lớn";"2 giường đôi lớn / 2 giường đôi lớn / 2 giường đôi lớn";"2 giường đơn";"2 phòng ngủ";"2 phòng tắm";"20 m²";"21 m²";"22 m²";"24 m²";"25 m²";"3 phòng ngủ";"3 phòng tắm";"30 m²";"32 m²";"36 m²";"4 phòng ngủ";"4000 m²";"5 phòng ngủ";"5 phòng tắm";"50 m²";"62 m²";"80 m²";"Ban công/sân hiên";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hành lang ngoài";"Hướng Hồ";"Hướng Không có cửa sổ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Sông";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Không hút thuốc";"Máy pha trà/cà phê";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Rượu";"Studio/1 phòng ngủ";"Trà miễn phí";"Tối đa 10 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 7 người lớn";"Tối đa 8 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"36764262";"Khách sạn Robin (ROBIN HOTEL)";"Room 23, Robin Hotel, 23 March Street, Nghia Tan Ward, Gia Nghia, Dak Nong 65106, Vietnam, Robin Hotel Gia Nghĩa Đường 23 Tháng 3 Phường Nghĩa Tân Gia Nghĩa Đăk Nông 65106, Vietnam, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Phòng Loại Sang (Deluxe Room)";"2 người lớn";"1.179.617";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"36764262";"Khách sạn Robin (ROBIN HOTEL)";"Room 23, Robin Hotel, 23 March Street, Nghia Tan Ward, Gia Nghia, Dak Nong 65106, Vietnam, Robin Hotel Gia Nghĩa Đường 23 Tháng 3 Phường Nghĩa Tân Gia Nghĩa Đăk Nông 65106, Vietnam, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Deluxe có ban công (Deluxe Balcony)";"2 người lớn";"1.273.810";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"36764262";"Khách sạn Robin (ROBIN HOTEL)";"Room 23, Robin Hotel, 23 March Street, Nghia Tan Ward, Gia Nghia, Dak Nong 65106, Vietnam, Robin Hotel Gia Nghĩa Đường 23 Tháng 3 Phường Nghĩa Tân Gia Nghĩa Đăk Nông 65106, Vietnam, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Deluxe có ban công (Deluxe Balcony)";"2 người lớn & 1 trẻ em (0-2 tuổi)";"1.278.368";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"36764262";"Khách sạn Robin (ROBIN HOTEL)";"Room 23, Robin Hotel, 23 March Street, Nghia Tan Ward, Gia Nghia, Dak Nong 65106, Vietnam, Robin Hotel Gia Nghĩa Đường 23 Tháng 3 Phường Nghĩa Tân Gia Nghĩa Đăk Nông 65106, Vietnam, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Deluxe có ban công (Deluxe Balcony)";"2 người lớn";"1.379.630";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"37845361";"Laca homestay";"63 Lê Thị Hồng Gấm, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Phòng Giường Đôi Có Sân Hiên (Double Room with Terrace)";"2 người lớn";"500.000";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1"
"37845361";"Laca homestay";"63 Lê Thị Hồng Gấm, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Phòng 4 Người có Sân hiên (Quadruple Room with Terrace)";"3 người lớn";"545.370";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1"
"37845361";"Laca homestay";"63 Lê Thị Hồng Gấm, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Phòng Deluxe Có Giường Cỡ King (Deluxe King Room)";"2 người lớn";"601.852";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1"
"49410915";"EVA Village (EVA VILLAGE)";"Vũ Ngọc Nhạ, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 65106";"Phòng Mái Vòm Cho Gia Đình (Dome Family Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"587.160";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"49410915";"EVA Village (EVA VILLAGE)";"Vũ Ngọc Nhạ, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 65106";"Nhà trệt cho 2 người lớn và 1 trẻ em (Bungalow for 2 Adults and 1 Child)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"897.799";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"49410915";"EVA Village (EVA VILLAGE)";"Vũ Ngọc Nhạ, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 65106";"Phòng gia đình (Famille Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"1.356.810";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
