"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn và 1 giường đôi / 1 giường đôi và 1 giường lớn / 1 giường lớn / 1 nệm futon và 1 giường sofa";"1 giường đôi";"1 giường đôi / 1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường đôi lớn / 1 giường đôi lớn / 1 giường đơn / 2 nệm futon";"1 giường đôi lớn / 1 giường đơn / 6 giường đơn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn";"1 giường đơn / 1 nệm futon";"1 giường đơn / 2 giường sofa / 1 giường đôi / 1 giường đôi / 1 giường đôi";"1 giường đơn và 1 giường đôi lớn";"1 nệm futon";"1 nệm futon và 2 giường lớn / 1 nệm futon và 2 giường lớn / 1 nệm futon và 2 giường đôi lớn / 1 nệm futon và 1 giường sofa";"1 nệm futon và 2 giường lớn / 2 giường đôi lớn và 1 nệm futon / 1 giường sofa / 2 giường lớn và 1 nệm futon";"1 phòng tắm";"100 m²";"11 m²";"12 m²";"15 m²";"16 m²";"18 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đôi lớn và 9 giường đơn";"2 phòng ngủ";"2 phòng tắm";"20 m²";"22 m²";"24 m²";"25 m²";"28 m²";"3 phòng ngủ";"30 m²";"300 m²";"35 m²";"4 giường đôi";"4 m²";"4 nệm futon";"4 phòng ngủ";"4 phòng tắm";"40 m²";"45 m²";"50 m²";"500 m²";"6 m²";"6 phòng ngủ";"6 phòng tắm";"8 giường tầng";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Cà phê hòa tan miễn phí";"Cửa sổ có thể mở ra";"Cửa sổ mở";"Hành lang ngoài";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Sân trong";"Hướng Thành phố";"Hướng Vườn";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Quạt";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Sưởi";"Truy cập Internet - không dây";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 1 người lớn";"Tối đa 10 người lớn";"Tối đa 12 người lớn";"Tối đa 12 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (1-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 2 bé (1-12 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 4 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 5 người lớn";"Tối đa 6 người lớn";"Tối đa 8 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Đồ uống mời khách miễn phí";"Ấm nước";"Ấm nước điện"
"79825726";"Nomia Garden Retreats - Khu nghỉ dưỡng hồ Trị An (Nomia Garden Retreats - Khu nghi duong ho Tri An)";"Ấp bến Nôm, Phú Cường, Định Quán, Đồng Nai, Nomia Garden Retreats - Khu nghi duong ho Tri An, Tỉnh Đồng Nai, Ðông Nãi, Việt Nam, 76000";"Nhà Trệt Khu Vườn (Garden Bungalow)";"2 người lớn";"1.763.442";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"79825726";"Nomia Garden Retreats - Khu nghỉ dưỡng hồ Trị An (Nomia Garden Retreats - Khu nghi duong ho Tri An)";"Ấp bến Nôm, Phú Cường, Định Quán, Đồng Nai, Nomia Garden Retreats - Khu nghi duong ho Tri An, Tỉnh Đồng Nai, Ðông Nãi, Việt Nam, 76000";"Suite Nhìn Ra Vườn (Garden Suite)";"2 người lớn";"1.945.143";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"79825726";"Nomia Garden Retreats - Khu nghỉ dưỡng hồ Trị An (Nomia Garden Retreats - Khu nghi duong ho Tri An)";"Ấp bến Nôm, Phú Cường, Định Quán, Đồng Nai, Nomia Garden Retreats - Khu nghi duong ho Tri An, Tỉnh Đồng Nai, Ðông Nãi, Việt Nam, 76000";"Suite Nhìn Ra Vườn (Garden Suite)";"2 người lớn";"2.027.945";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"79825726";"Nomia Garden Retreats - Khu nghỉ dưỡng hồ Trị An (Nomia Garden Retreats - Khu nghi duong ho Tri An)";"Ấp bến Nôm, Phú Cường, Định Quán, Đồng Nai, Nomia Garden Retreats - Khu nghi duong ho Tri An, Tỉnh Đồng Nai, Ðông Nãi, Việt Nam, 76000";"Suite Nhìn Ra Vườn (Garden Suite)";"3 người lớn";"2.420.148";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"64064247";"Meeto Camping Hồ Trị An (Meeto Camping Ho Tri An)";"Tổ 2 Ấp 6 Mã Đà, Tỉnh Đồng Nai, Ðông Nãi, Việt Nam";"Lều (Tent)";"2 người lớn";"722.222";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"64064247";"Meeto Camping Hồ Trị An (Meeto Camping Ho Tri An)";"Tổ 2 Ấp 6 Mã Đà, Tỉnh Đồng Nai, Ðông Nãi, Việt Nam";"Lều (Tent)";"3 người lớn";"1.155.556";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"64064247";"Meeto Camping Hồ Trị An (Meeto Camping Ho Tri An)";"Tổ 2 Ấp 6 Mã Đà, Tỉnh Đồng Nai, Ðông Nãi, Việt Nam";"Lều (Tent)";"2 người lớn";"1.300.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"4656903";"Hapyson Hotel";"52 Pham The Hien , Huyện Long Khánh, Huyện Long Khánh, Việt Nam, 81000";"Superior 1 người (Superior Single)";"2 người lớn & 2 trẻ em (0-5 tuổi)";"349.047";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"4656903";"Hapyson Hotel";"52 Pham The Hien , Huyện Long Khánh, Huyện Long Khánh, Việt Nam, 81000";"Superior 1 người (Superior Single)";"2 người lớn";"402.778";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"4656903";"Hapyson Hotel";"52 Pham The Hien , Huyện Long Khánh, Huyện Long Khánh, Việt Nam, 81000";"Superior 1 người (Superior Single)";"2 người lớn & 2 trẻ em (0-5 tuổi)";"485.340";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1"
