,room_type_id,bed_str,expanded_bed,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_str,bedroom_count,confirmation-instant_str,confirmation-instant
0,1,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,18.0,1,1,Hướng Ngoài trời,ngoai troi,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Điều hòa cá nhân,dieu hoa ca nhan
1,2,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,30.0,1,1,Hướng Núi,nui,True,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,0,Cửa sổ,cua so
2,3,2 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 2}]",0,1,0,0,0,0,0,0,0,0,1,45.0,0,1,Hướng Núi,nui,True,,,,,,True,,,,,,,,,,,,,,True,,,True,,,,,0,Hành lang ngoài,hanh lang ngoai
3,4,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,20.0,1,1,Hướng Ngoài trời,ngoai troi,True,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,0,Điều hòa cá nhân,dieu hoa ca nhan
4,5,1 giường đôi lớn hoặc 2 giường đơn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}, {'bed_type': 'giường đơn', 'bed_count': 2}]",1,0,1,0,0,0,0,0,0,0,2,35.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
5,6,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,50.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
6,7,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,54.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
7,8,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,60.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
8,9,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,63.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
9,10,2 giường đơn & 1 giường đôi lớn hoặc 2 giường đôi lớn,"[{'bed_type': 'giường đơn', 'bed_count': 2}, {'bed_type': 'giường đôi lớn', 'bed_count': 1}, {'bed_type': 'giường đôi lớn', 'bed_count': 2}]",1,0,1,0,0,0,0,0,0,0,2,71.0,2,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
10,11,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,21.0,0,1,Hướng Không có cửa sổ,khong co cua so,,True,True,True,True,,,,,,,,,,,,,,True,,,,,,,,,,0,,
