hotel_id,hotel_name,hotel_address,room_types,region,room_count
287616,Khách Sạn Chương Dương (Chuong Duong Hotel),"Số 10, Đường 30 Tháng 4, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Phòng Đôi Cao Cấp (Superior Double Room)', 'amenities': ['23 m²', 'Tối đa 2 người lớn', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '687.827', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}]}, {'room_type_name': 'Phòng Superior 2 giường đơn (Superior Twin Room)', 'amenities': ['23 m²', 'Tối đa 2 người lớn', '2 giường đơn'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '687.827', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}]}]",Tiền Giang,2
287616,Khách Sạn Chương Dương (Chuong Duong Hotel),"Số 10, Đường 30 Tháng 4, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Phòng Đôi Cao Cấp (Superior Double Room)', 'amenities': ['23 m²', 'Tối đa 2 người lớn', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '687.827', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}]}, {'room_type_name': 'Phòng Superior 2 giường đơn (Superior Twin Room)', 'amenities': ['23 m²', 'Tối đa 2 người lớn', '2 giường đơn'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '687.827', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}]}]",Long An,2
298371,Khách sạn Sông Tiền Annex (Song Tien Annex Hotel),"33 Thiên Hộ Dương, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Superior Double with Balcony', 'amenities': ['Hướng Sông', 'Ấm nước điện', 'Bồn tắm', 'phòng tắm riêng', 'Máy sấy tóc', 'Vòi sen', 'Wi-Fi [miễn phí]', 'Điều hòa', 'Tủ lạnh nhỏ trong phòng', 'Nước đóng chai miễn phí', '25 m²', 'Tối đa 2 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '429.773', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí', 'Đã nhập mã AGODA_SPONSORED - giảm 6.735\xa0₫!']}, {'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Không hoàn tiền (Giá thấp!)', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}]}, {'room_type_name': 'Superior Twin With Balcony (Superior Twin with Balcony)', 'amenities': ['Hướng Sông', 'Ấm nước điện', 'Bồn tắm', 'phòng tắm riêng', 'Máy sấy tóc', 'Vòi sen', 'Wi-Fi [miễn phí]', 'Điều hòa', 'Tủ lạnh nhỏ trong phòng', 'Nước đóng chai miễn phí', '20 m²', 'Tối đa 2 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!', '2 giường đơn'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '429.773', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí', 'Đã nhập mã AGODA_SPONSORED - giảm 6.735\xa0₫!']}, {'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn', 'Không hoàn tiền (Giá thấp!)', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}]}]",Long An,2
298371,Khách sạn Sông Tiền Annex (Song Tien Annex Hotel),"33 Thiên Hộ Dương, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Superior Double with Balcony', 'amenities': ['Hướng Sông', 'Ấm nước điện', 'Bồn tắm', 'phòng tắm riêng', 'Máy sấy tóc', 'Vòi sen', 'Wi-Fi [miễn phí]', 'Điều hòa', 'Tủ lạnh nhỏ trong phòng', 'Nước đóng chai miễn phí', '25 m²', 'Tối đa 2 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '430.078', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Không hoàn tiền (Giá thấp!)', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}]}, {'room_type_name': 'Superior Twin With Balcony (Superior Twin with Balcony)', 'amenities': ['Hướng Sông', 'Ấm nước điện', 'Bồn tắm', 'phòng tắm riêng', 'Máy sấy tóc', 'Vòi sen', 'Wi-Fi [miễn phí]', 'Điều hòa', 'Tủ lạnh nhỏ trong phòng', 'Nước đóng chai miễn phí', '20 m²', 'Tối đa 2 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!', '2 giường đơn'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '430.078', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn & 1 trẻ em (0-11 tuổi)', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-11 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn', 'option_price': '436.508', 'amenities_for_price': ['2 người lớn', 'Không hoàn tiền (Giá thấp!)', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí']}]}]",Tiền Giang,2
299449,Khách sạn Sông Tiền (Song Tien Hotel),"Số 101, đường Trưng Trắc, Phường 1, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Phòng Tiêu Chuẩn Không Có Cửa Sổ (Standard Room without Window)', 'amenities': ['Hướng Không có cửa sổ', 'phòng tắm riêng', 'Máy sấy tóc', 'Phòng tắm đứng', 'Wi-Fi [miễn phí]', 'Rèm che ánh sáng', 'Tủ lạnh nhỏ trong phòng', 'Cà phê hòa tan miễn phí', 'Ấm nước', 'Tủ lạnh', '24 m²', 'Tối đa 2 người lớn', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '480.425', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn', 'option_price': '525.448', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp', 'Đã nhập mã AGODA_SPONSORED - giảm 8.061\xa0₫!']}, {'option_name': '2 người lớn', 'option_price': '533.510', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp']}, {'option_name': '2 người lớn', 'option_price': '533.510', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'WiFi miễn phí']}]}, {'room_type_name': 'Hai Giường Đơn Cao Cấp Cấm Hút Thuốc (Twin Superior Non-Smoking)', 'amenities': ['Vòi sen', 'Wi-Fi [miễn phí]', 'Điều hòa', 'Cửa sổ', 'Không hút thuốc', '25 m²', 'Tối đa 2 người lớn', '2 giường đơn'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '570.620', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '621.703', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp']}, {'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '630.511', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp']}]}]",Tiền Giang,2
299449,Khách sạn Sông Tiền (Song Tien Hotel),"Số 101, đường Trưng Trắc, Phường 1, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Phòng Tiêu Chuẩn Không Có Cửa Sổ (Standard Room without Window)', 'amenities': ['Hướng Không có cửa sổ', 'phòng tắm riêng', 'Máy sấy tóc', 'Phòng tắm đứng', 'Wi-Fi [miễn phí]', 'Rèm che ánh sáng', 'Tủ lạnh nhỏ trong phòng', 'Cà phê hòa tan miễn phí', 'Ấm nước', 'Tủ lạnh', '24 m²', 'Tối đa 2 người lớn', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '480.425', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn', 'option_price': '525.448', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp', 'Đã nhập mã AGODA_SPONSORED - giảm 8.061\xa0₫!']}, {'option_name': '2 người lớn', 'option_price': '533.510', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp']}, {'option_name': '2 người lớn', 'option_price': '533.510', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'WiFi miễn phí']}]}, {'room_type_name': 'Hai Giường Đơn Cao Cấp Cấm Hút Thuốc (Twin Superior Non-Smoking)', 'amenities': ['Vòi sen', 'Wi-Fi [miễn phí]', 'Điều hòa', 'Cửa sổ', 'Không hút thuốc', '25 m²', 'Tối đa 2 người lớn', '2 giường đơn'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '570.620', 'amenities_for_price': ['2 người lớn', 'Có ăn sáng', 'Không hoàn tiền (Giá thấp!)', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí']}, {'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '621.703', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp']}, {'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '630.511', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Có ăn sáng', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Trả tiền ở khách sạn', 'Bãi đậu xe', 'WiFi miễn phí', 'Các kênh truyền hình cáp']}]}]",Long An,2
393956,Khách sạn Trung Lương 2 (Trung Luong Hotel 2),"Quốc lộ 50,, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Phòng Đôi (Double Room)', 'amenities': ['Hướng Vườn', 'phòng tắm riêng', 'Máy sấy tóc', 'Phòng tắm đứng', 'Wi-Fi [miễn phí]', 'Rèm che ánh sáng', 'Nước đóng chai miễn phí', 'Ấm nước', 'Tủ quần áo', 'Không hút thuốc', '20 m²', 'Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '229.599', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'Nhận phòng nhanh', 'WiFi miễn phí', 'Đã nhập mã AGODA_SPONSORED - giảm 7.438\xa0₫!']}, {'option_name': '2 người lớn', 'option_price': '286.478', 'amenities_for_price': ['2 người lớn', 'Chính sách hủy', 'Đặt và trả tiền ngay', 'Nhận phòng nhanh', 'WiFi miễn phí']}]}, {'room_type_name': 'Phòng Cao Cấp Cho Hai Người (Superior Double Room)', 'amenities': ['Hướng Vườn', 'Không hút thuốc', '25 m²', 'Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '291.861', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'Nhận phòng nhanh', 'WiFi miễn phí']}, {'option_name': '2 người lớn', 'option_price': '358.098', 'amenities_for_price': ['2 người lớn', 'Chính sách hủy', 'Đặt và trả tiền ngay', 'Nhận phòng nhanh', 'WiFi miễn phí']}]}]",Long An,2
393956,Khách sạn Trung Lương 2 (Trung Luong Hotel 2),"Quốc lộ 50,, Mỹ Tho, Mỹ Tho (Tiền Giang), Việt Nam","[{'room_type_name': 'Phòng Đôi (Double Room)', 'amenities': ['Hướng Vườn', 'phòng tắm riêng', 'Máy sấy tóc', 'Phòng tắm đứng', 'Wi-Fi [miễn phí]', 'Rèm che ánh sáng', 'Nước đóng chai miễn phí', 'Ấm nước', 'Tủ quần áo', 'Không hút thuốc', '20 m²', 'Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '229.599', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'Nhận phòng nhanh', 'WiFi miễn phí', 'Đã nhập mã AGODA_SPONSORED - giảm 7.438\xa0₫!']}, {'option_name': '2 người lớn', 'option_price': '286.478', 'amenities_for_price': ['2 người lớn', 'Chính sách hủy', 'Đặt và trả tiền ngay', 'Nhận phòng nhanh', 'WiFi miễn phí']}]}, {'room_type_name': 'Phòng Cao Cấp Cho Hai Người (Superior Double Room)', 'amenities': ['Hướng Vườn', 'Không hút thuốc', '25 m²', 'Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!', '1 giường đôi'], 'price_options': [{'option_name': '2 người lớn & 1 trẻ em (0-6 tuổi)', 'option_price': '291.861', 'amenities_for_price': ['2 người lớn & 1 trẻ em (0-6 tuổi)', 'Miễn phí hủy trước ngày 18 thg 11, 25', 'Đặt và trả tiền ngay', 'Bãi đậu xe', 'Nhận phòng nhanh', 'WiFi miễn phí']}, {'option_name': '2 người lớn', 'option_price': '358.098', 'amenities_for_price': ['2 người lớn', 'Chính sách hủy', 'Đặt và trả tiền ngay', 'Nhận phòng nhanh', 'WiFi miễn phí']}]}]",Tiền Giang,2
625091,Khu Nghỉ Dưỡng Mỹ Khánh (My Khanh Resort),"335 Lo Vong Cung, My Khanh, Phong Dien, Phong Điền, Cần Thơ, Việt Nam, 92000","[{'room_type_name': 'Phòng Đôi Loại Sang (Deluxe Double Room)', 'amenities': ['Hướng Vườn', 'Ấm nước điện', 'Bồn tắm', 'phòng tắm riêng', 'Máy sấy tóc', 'Vòi sen', 'Đồ dùng cho giấc ngủ thoải mái', 'Điều hòa', 'Nước đóng chai miễn phí', 'Tủ lạnh', '36 m²', 'Tối đa 2 người lớn', '1 giường đôi lớn'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '925.926', 'amenities_for_price': ['2 người lớn', 'Miễn phí hủy trước ngày 17 thg 11, 25', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'WiFi miễn phí']}]}]",Cần Thơ,1
625091,Khu Nghỉ Dưỡng Mỹ Khánh (My Khanh Resort),"335 Lo Vong Cung, My Khanh, Phong Dien, Phong Điền, Cần Thơ, Việt Nam, 92000","[{'room_type_name': 'Phòng Đôi Loại Sang (Deluxe Double Room)', 'amenities': ['Hướng Vườn', 'Ấm nước điện', 'Bồn tắm', 'phòng tắm riêng', 'Máy sấy tóc', 'Vòi sen', 'Đồ dùng cho giấc ngủ thoải mái', 'Điều hòa', 'Nước đóng chai miễn phí', 'Tủ lạnh', '36 m²', 'Tối đa 2 người lớn', '1 giường đôi lớn'], 'price_options': [{'option_name': '2 người lớn', 'option_price': '925.926', 'amenities_for_price': ['2 người lớn', 'Không hoàn tiền (Giá thấp!)', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'WiFi miễn phí']}]}, {'room_type_name': 'Phòng Cơ Bản 3 Người (Basic Triple Room)', 'amenities': ['Hướng Vườn', 'Ấm nước điện', 'phòng tắm riêng', 'Máy sấy tóc', 'Vòi sen', 'Đồ dùng cho giấc ngủ thoải mái', 'Điều hòa', 'Nước đóng chai miễn phí', 'Tủ lạnh', 'Ban công/sân hiên', '32 m²', 'Tối đa 3 người lớn', '1 giường đôi và 1 giường đôi lớn'], 'price_options': [{'option_name': '3 người lớn', 'option_price': '1.018.519', 'amenities_for_price': ['3 người lớn', 'Không hoàn tiền (Giá thấp!)', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'WiFi miễn phí']}]}]",Hậu Giang,2
