hotel_id,hotel_name,hotel_address,region
71897952,Nha Nghi Nhung - Nhung Motel,"73 Đoàn Thị Điểm Bà Rịa, Việt Nam",Bà Rịa
49685029,Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),"Ba Ria City, Long Huong Phường, Việt Nam",Bà Rịa
65481766,Baly Hotel Bà Rịa City (Baly Hotel Ba Ria City),"QL51, Việt Nam",Bà Rịa
5808626,Citadines Central Bình Dương (Citadines Central Binh Duong),"328C, Phường Hưng Định, Thành phố Thuận An, Bình Dương, Việt Nam",Bình Dương
10613675,KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Đường, Bình Dương, Việt Nam",Bình Dương
78191120,Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đường D8, Bình Dương, Việt Nam",Bình Dương
67742118,Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Bình Dương, Việt Nam",Bình Dương
37848723,Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),"Hoa Cúc Phương - 72C, Bình Dương, Việt Nam",Bình Dương
39821588,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),"10B đại lộ Hữu Nghị, Phường Bình H a, Bình Dương, Việt Nam",Bình Dương
64540148,Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),"Số 68 Đường Lê Duẩn, Bình Dương, Việt Nam",Bình Dương
479494,The Mira Hotel,"555B, Thành phố Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
39830693,Căn hộ The Emerald Golf View (The Emerald Golf View Apartment),"Lái Thiêu, Thuận An, Bình Dương, Việt Nam",Bình Dương
5396372,The Mira Boutique Hotel,"318A Binh Đường Boulevard, Bình Dương, Việt Nam",Bình Dương
25559635,Fairfield by Marriott Nam Bình Dương (Fairfield by Marriott South Binh Duong),"No. 5 Huu Nghi Đại lộ, Binh Hoa Phường, Bình Dương, Việt Nam",Bình Dương
80191425,Nhà nghỉ cao cấp NP (Np Luxury Motel),"Đường Thuận Giao 16, Bình Dương, Việt Nam",Bình Dương
1202485,Khách sạn Becamex New City (Becamex Hotel New City),"số B2, Bình Dương, Việt Nam",Bình Dương
66152104,Khách sạn An Lộc (An Lộc Hotel),"40 Đường D3, Bình Dương, Việt Nam",Bình Dương
51816388,HIIVE by fusion Thành phố Mới Bình Dương - VSIP 2 (HIIVE by fusion Binh Duong New City - VSIP 2),"32A7 Đường Tạo Lực 5, Bình Dương, Việt Nam",Bình Dương
67419926,Căn hộ dịch vụ ORA - Thành phố mới Bình Dương (ORA Serviced Apartments - Binh Duong New City),"20 Đường DA7, Bình Dương, Việt Nam",Bình Dương
561997,Khách Sạn Long Bảo Châu (Long Bao Chau Hotel),"Đường D10, Phường Chánh Nghĩa, Bình Dương, Việt Nam",Bình Dương
61697133,Happy One Central,"30/4 Đường, Phu Hoa Phường, Bình Dương, Việt Nam",Bình Dương
7520557,Nữ Hoàng (Elizabeth),"17/41 Trần Văn Ơn Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
38746777,Amanda Boutique - Căn hộ dịch vụ & Khách sạn Bình Dương (Amanda Boutique - Serviced Apartment & Hotel Binh Duong),"38 Đường D4, Bình Dương, Việt Nam",Bình Dương
527777,Becamex Hotel Thu Dau Mot,"Becamex Hotel, Phường Phú Lợi, Bình Dương, Việt Nam",Bình Dương
22807385,Hồ Tây Hotel (Ho Tay Hotel),"132 Đường Hoàng Văn Thụ, Bình Dương, Việt Nam",Bình Dương
27753977,Khách sạn Khải Hoàn (Khai Hoan Hotel),"Bến Cát, Bình Dương, Việt Nam",Bình Dương
41243100,Khách sạn Hoàng Minh Châu Mỹ Phước 3 (Hotel Hoang Minh Chau My Phuoc 3),"39 NE8 Đường, Thoi Hoa Phường, Bình Dương, Việt Nam",Bình Dương
6592834,Spring Hotel,"23D N2 Đường, Lai Thieu Phường, Bình Dương, Việt Nam",Bình Dương
45902478,Khách sạn Dạ Lan (Khach san Da Lan),"46 Dĩ An, Bình Dương, Việt Nam",Bình Dương
2513138,Hung Phuoc Hotel,"43-44-45 D1 Đường, Bình Dương, Việt Nam",Bình Dương
47144675,Nhà nghỉ VENUS 6 (Nhà Nghỉ VENUS 6(VENUS 6 Hotel)),"116 Tran Phu Đường, Bình Dương, Việt Nam",Bình Dương
48051693,Thủy Quỳnh hotel (Thuy Quynh hotel),"Đường Tỉnh 744, Bình Dương, Việt Nam",Bình Dương
78472374,Khách sạn Summer (SUMMER HOTEL),"96a Lê Hồng Phong Tân Đông Hiệp, Bình Dương, Việt Nam",Bình Dương
32790491,Căn hộ cao cấp Bcons Garden (Bcons Garden Luxury Apartment),"25A Phạm Hữu Lầu Dĩ An Bcons Garden, Bình Dương, Việt Nam",Bình Dương
21585838,Khách sạn Hoàng Hùng (Hoang Hung Hotel),"7/79 Number 10 Đường, Bình Dương, Việt Nam",Bình Dương
44688885,Nhà Nghỉ Tuyết Minh (Nha Nghi Tuyet Minh),"8 NA3 Bến Cát, Bình Dương, Việt Nam",Bình Dương
41771557,Mia Hotel (Feliz Hotel Binh Duong),"80 Đường D8, Bình Dương, Việt Nam",Bình Dương
67746367,Khách sạn Khang Điền 2,"445 Đường Nguyễn Văn Trỗi, Bình Dương, Việt Nam",Bình Dương
30507403,Vạn Huệ Homestay Bình Dương (Van Hue Homestay Binh Duong),"5/12C Đường Bùi Hữu Nghĩa, Bình Dương, Việt Nam",Bình Dương
72814400,Khách sạn LyLy 3 (Khach san LyLy 3),"58 Đường NA1, Bình Dương, Việt Nam",Bình Dương
78189963,Khách sạn Thọ Lập 3 Feliz (Thọ Lập 3 Feliz 寿立商旅酒店),"Đường D32, Bình Dương, Việt Nam",Bình Dương
55477674,Khách sạn Minh Thư (Minh Thư Hotel),"Đường DA 7, Bình Dương, Việt Nam",Bình Dương
5780603,Khách sạn Trần Long Bình Dương (TRAN LONG BINH DUONG),"06-07 UNITOWN, Bình Dương, Việt Nam",Bình Dương
25134310,Anhkhoa hotel Mỹ Phước (Anhkhoa hotel My Phuoc),"KP3 Đường DA01-01-KCN Mỹ Phước, Phường Mỹ Phước, Bình Dương, Việt Nam",Bình Dương
517570,Kim Bang Binh Duong Hotel,"22 Đường Trần Phú, Phường Chánh Nghĩa, Bình Dương, Việt Nam",Bình Dương
51973678,Khách sạn CitiGo (CitiGo HOTEL),"Đường 13, Bình Dương, Việt Nam",Bình Dương
36627918,Khách sạn Băng Boutique (BĂNG BOUTIQUE HOTEL),"29 Tran Phu Đường, Bình Dương, Việt Nam",Bình Dương
45049879,Khách sạn Thanh Tùng A2 (Hotel Thanh Tùng A2),"176 GS3 Đông Hoà  Dĩ An, Bình Dương, Việt Nam",Bình Dương
42822207,Happy 2 Hotel Bình Dương (Happy 2 Hotel Binh Duong),"79 Đường NK9, Bình Dương, Việt Nam",Bình Dương
62514499,Khách sạn Thanh Hằng (Thanh Hang Hotel),"N6 5A, Bình Dương, Việt Nam",Bình Dương
60535333,Khách sạn Phi Long 2 Thủ Dầu Một (Phi Long 2 Hotel Thu Dau Mot ),"No. 15/12, Phu Tho Phường, Bình Dương, Việt Nam",Bình Dương
4210278,Hoang Phuc Hotel,"Vo Van Kiet, Bình Dương, Việt Nam",Bình Dương
74448281,KHÁCH SẠN MlLAN (KHACH SAN MlLAN),"Dĩ An, Bình Dương, Việt Nam",Bình Dương
75561452,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Bến Cát (Dori House Honas)","Số 32 34, Phường Bình Thắng, Thành phố Dĩ An, Bình Dương, Việt Nam",Bình Dương
47676608,Khách sạn Lucky Life (Lucky life hotel ),"D5A, Phường Thới hòa, Bình Dương, Việt Nam",Bình Dương
66736330,Khách sạn Phương Anh (Phương Anh Hotel),"ĐT743, Bình Dương, Việt Nam",Bình Dương
37968433,Khách sạn Thịnh Gia (Thịnh Gia Hotel),"Lo o95-96A, Việt Nam",Bình Dương
37718196,Khách sạn Marina Bình Dương (Marina Hotel Bình Dương),"150 Nguyễn Hữu Cảnh, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
61415768,Khách Sạn Đức Toàn (Khach San Đuc Toan),"2/B2 Bình Hoà 24 Thuận An, Phường Bình Hòa, Bình Dương, Việt Nam",Bình Dương
65492084,Khách sạn Căn hộ dịch vụ Ruby Thủ Dầu Một,"137 Đường D, Phường Chánh Nghĩa, Bình Dương, Việt Nam",Bình Dương
50419039,Căn hộ cao cấp The Emerald Golf View (The Emerald Golf View Luxury Apartment),"No. 68 Binh Đường Đại lộ, Việt Nam",Bình Dương
1590651,Bideco Hotel,"131 Tran Phu Thủ Dầu Một, Chanh Nghia Phường, Bình Dương, Việt Nam",Bình Dương
21724717,Nữ Hoàng (Elizabeth),"17/41 Trần Văn Ơn Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
773934,khách sạn Âu Lạc (Au Lac Hotel),"Đường DA 1-2, Bình Dương, Việt Nam",Bình Dương
666001,Nhà hàng khách sạn Phạm Vân Sakura (Japanese Restaurant and Hotel Sakura),"Phường Thuận Giao, Thuận An, Bình Dương, Việt Nam",Bình Dương
55771087,Khách sạn Minh Phương Thủ Dầu Một (Minh Phương - Khách sạn Thủ Dầu Một Bình Dương),"24 Đường D4, Bình Dương, Việt Nam",Bình Dương
76607961,Khách sạn và Căn hộ Hoàng Dũng by THC Group (Hoang Dung Hotel and Apartment by THC Group),"1a Đường Bình Hòa 24, Bình Dương, Việt Nam",Bình Dương
34174204,Ruby Hotel - Tân Uyên - Bình Dương (Ruby Hotel - Tan Uyen - Binh Duong),"Đường 1, Phường Hội Nghĩa, Bình Dương, Việt Nam",Bình Dương
263318,Thien Ha Hotel,"Số 58 Đường D9, Bình Dương, Việt Nam",Bình Dương
666016,Hoang Yen Hotel Thu Dau Mot,"12/66 Nguyễn Chí Thanh Ấp 6, Xã Tương Bình Hiệp, Bình Dương, Việt Nam",Bình Dương
69330436,"Căn hộ 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Luxurry Apartment Charm City)","115 DT743B P Dĩ An, Bình Dương, Việt Nam",Bình Dương
78220176,Khách sạn Tân Quý Đô (Tân Quý Đô Hotel),"556 L Th i Tổ Ho Ph, Bình Dương, Việt Nam",Bình Dương
55272061,Nhà nghỉ nam phương (Nha nghi nam phuong),"Phú Thọ, Bình Dương, Việt Nam",Bình Dương
79995184,HongHome Compass One (HongHome Compass One ),"239 Hoang Van Thu Compass One Building, Bình Dương, Việt Nam",Bình Dương
38783514,Khách sạn Khánh Bình (KHÁCH SẠN KHÁNH BÌNH),"Đường Tỉnh 741, Bình Dương, Việt Nam",Bình Dương
24251710,Khách sạn Sao Băng (Sao Bang Hotel),"62 Đường D8, Thành phố Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
64962558,Khách sạn Hoàng Gia (Hoang Gia Hotel),"16 TC1 Thới Hoà, Bình Dương, Việt Nam",Bình Dương
984374,Cuc Phuong Hotel,"Số 28 Đường GS2, Bình Dương, Việt Nam",Bình Dương
76068359,hotel Hương Thiên Phú (hotel Huong Thien Phu),"Dĩ An, Bình Dương, Việt Nam",Bình Dương
64277532,Khách sạn Bảo Trân 2 (Khach san Bao Tran 2),"D19, Bình Dương, Việt Nam",Bình Dương
77725743,Nhà Nghỉ Hoa Đào (Nhà Nghỉ Hoa Đào ),"61/7 Đường D1, Phường Thuận Giao, Thành phố Thuận An, Bình Dương, Việt Nam",Bình Dương
74337724,Charm Apartment,"Dĩ An, Bình Dương, Việt Nam",Bình Dương
68398360,"Chung cư Midori Park The Glory ưu đãi giá theo tuần , tháng (Chung cu Midori Park The Glory uu đai gia theo tuan , thang)","4 Đường Hùng Vương, Bình Dương, Việt Nam",Bình Dương
12274398,S79 Residences,"Thu Dau Mot, Bình Dương, Việt Nam",Bình Dương
35427007,Nhà nghỉ Thảo Ngân (Nhà Nghỉ Thảo Ngân ),"79 Đường Lào Cai, Bình Dương, Việt Nam",Bình Dương
65453377,Khách sạn Hoàng Triều (皇朝商务会所) (KHÁCH SẠN HOÀNG TRIỀU(皇朝商务会所)Tp.Mới-Bình Dương),"304 Đồng Khởi Phú Mỹ, Bình Dương, Việt Nam",Bình Dương
59318539,Khách sạn Hưng Phát (Hotel Hưng Phát),"Binh Hoa 1 Neighborhood, Bình Dương, Việt Nam",Bình Dương
45418566,hotel mỹ việt (hotel my viet),"36 Nguyễn An Ninh Dĩ An, Bình Dương, Việt Nam",Bình Dương
2496850,Lavender Hotel,"D5 Đường, Chanh Nghia Phường, Bình Dương, Việt Nam",Bình Dương
42295839,Happy 1 Hotel Binh Duong,"Đường NA2, Bình Dương, Việt Nam",Bình Dương
75848060,Hoàng Nam 2 Hotel Bình Dương (Hoang Nam 2 Hotel Binh Duong),"42/2 Đường Bình Chuẩn 66, Bình Dương, Việt Nam",Bình Dương
79077760,Hoàng Lâm Hotel (Hoang Lam Hotel),"14E Đường Lê Hoàn, Bình Dương, Việt Nam",Bình Dương
78328191,Ruby Home,"137 Đường D, Bình Dương, Việt Nam",Bình Dương
75619509,The Emerald Golf View,"Thuận An, Bình Dương, Việt Nam",Bình Dương
54619271,Nhà Nghỉ Hương Giang (Nha Nghi Huong Giang),"289 Đường Trương Định, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
71661182,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Hòa Phú (Midori Park The Glory apartment (19th Floor))","Hòa Phú, Bình Dương, Việt Nam",Bình Dương
69127176,Maison Mia Hotel & Apartment,"Maison Mia  Hòa Phú, Bình Dương, Việt Nam",Bình Dương
42180899,Khách Sạn Khánh Bình - Bình Dương (Khach San Khanh Binh - Binh Duong),"Đường Khánh Bình 28, Phường Khánh Bình, Thành phố Tân Uyên, Bình Dương, Việt Nam",Bình Dương
39830558,"Căn hộ 80 m² 3 phòng ngủ, 2 phòng tắm riêng ở Dĩ An (Charm House2 - Floor29)","Dĩ An, Bình Dương, Việt Nam",Bình Dương
76381694,"Căn hộ m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Emerald golf view appartment )","Thuận An, Bình Dương, Việt Nam",Bình Dương
47272876,"Nhà riêng 100 m² 2 phòng ngủ, 3 phòng tắm riêng ở Bến Cát (Căn hộ dịch vụ Minh Yến)","Bến Cát, Bình Dương, Việt Nam",Bình Dương
79228704,New Lavida,"New Lavida, Phường Dĩ An, Bình Dương, Việt Nam",Bình Dương
42072846,Khách sạn Marina Bình Dương (MarinaHotelBinhDuong),"150 Nguyen Huu Canh Thu Dau Mot, Phu Tho Phường, Bình Dương, Việt Nam",Bình Dương
1423429,Khách sạn New (New Hotel),"86 Trần Bình Trọng Thủ Dầu Một, Thành phố Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
37329771,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Dĩ An (BIG PROMO Luxyry 2 bedroom Charm City Appartment)","Dĩ An, Bình Dương, Việt Nam",Bình Dương
79134594,Khách sạn Bcons City (Bcons City Hotel),"Đường Thống Nhất, Bình Dương, Việt Nam",Bình Dương
65482029,Khách sạn Phương Đông 2 (Khach san Phuong Đong 2),"195 An Phú 10 Thuận An, Bình Dương, Việt Nam",Bình Dương
78120100,Công Ty TNHH SẢN XUẤT & THƯƠNG MẠI PHÚC ĐẠT (Cong Ty TNHH SAN XUAT & THUONG MAI PHUC ĐAT),"Khách Sạn Phúc Đạt Hòa Phú, Bình Dương, Việt Nam",Bình Dương
9846724,"Chung cư 32 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (MODERN 1BR APT IN VIET-SING TOWN)","Thuận An, Bình Dương, Việt Nam",Bình Dương
45094383,"Căn hộ 80 m² 2 phòng ngủ, 2 phòng tắm riêng ở Thủ Dầu Một (Căn hộ 2 ngủ View Sài Gòn)","Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
78120912,Công Ty TNHH SẢN XUẤT & THƯƠNG MẠI PHÚC ĐẠT (Cong Ty TNHH SAN XUAT & THUONG MAI PHUC ĐAT),"Khách Sạn Phúc Đạt Hòa Phú, Bình Dương, Việt Nam",Bình Dương
55769765,"Căn hộ 100 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (English, Vietnam, Chinese )","Dĩ An, Bình Dương, Việt Nam",Bình Dương
47373560,"Nhà riêng 100 m² 2 phòng ngủ, 2 phòng tắm riêng ở Bến Cát (Căn hộ Minh Yến- Căn 2 phòng ngủ.)","Bến Cát, Bình Dương, Việt Nam",Bình Dương
64045412,ELLMAN Boutique Hotel,"WPVC 9VW, Bình Dương, Việt Nam",Bình Dương
63143382,"Căn hộ 22 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Nhà Nghỉ Bảo Trân)","Thuận An, Bình Dương, Việt Nam",Bình Dương
64246545,"Căn hộ 49 m² 1 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Happy House Apartment in Charm City, Di An, BD)","Dĩ An, Bình Dương, Việt Nam",Bình Dương
66727643,Chung cư sunrise Becamex (Chung cu sunrise Becamex),"Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
63143718,"Căn hộ 22 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Nhà nghỉ Bảo Trân )","Thuận An, Bình Dương, Việt Nam",Bình Dương
78671366,Hotel Gia Bình (Hotel Gia Binh),"Đường Hùng Vương, Bình Dương, Việt Nam",Bình Dương
34732752,"Căn hộ 55 m² 2 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Căn Hộ Cao Cấp 2 PN Tại Dĩ An (Q1, Sân Bay, 15KM))","Thuận An, Bình Dương, Việt Nam",Bình Dương
63143738,"Căn hộ 22 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Nhà nghỉ Bảo Trân)","Thuận An, Bình Dương, Việt Nam",Bình Dương
39581491,Vietnamese-German University Guest Housing,"Bến Cát, Bình Dương, Việt Nam",Bình Dương
74586303,"Căn hộ 51 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (-33% The Emerald Golf View Thuận An)","Thuận An, Bình Dương, Việt Nam",Bình Dương
36122072,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Dĩ An (Tòa nhà Charm Plaza)","Dĩ An, Bình Dương, Việt Nam",Bình Dương
80531404,Khách sạn Dìn Ký Cầu Ngang Bình Dương (Khách Sạn Dìn Ký Cầu Ngang Bình Dương),"94 Binh Nham 02 Đường, Binh Nham Phường, Bình Dương, Việt Nam",Bình Dương
