hotel_id,hotel_name,hotel_address,region
71897952,Nha Nghi Nhung - Nhung Motel,"73 Đoàn Thị Điểm, Bà Rịa, Vietnam",Bà Rịa
49685029,Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),"KDC Baria City Gate, Long Huong Ward, Ba Ria City, Ba Ria - Vung Tau Province 3, 3, Bà Rịa, Vietnam",Bà Rịa
65481766,Baly Hotel Bà Rịa City (Baly Hotel Ba Ria City),"QL51, Bà Rịa, Vietnam",Bà Rịa
5808626,Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ Bình Dương, Khu phố Hưng Lộc, Phường Hưng Định, Thành phố Thuận An, Tỉnh Bình Dương, Vietnam, Thuận An, Bình Dương",Bình Dương
10613675,KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Vietnam",Bình Dương
78191120,Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đường. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Vietnam",Bình Dương
67742118,Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Bình Dương, Vietnam",Bình Dương
37848723,Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),"Housing Area 19-8 Hoa Cuc Phuong - 72C, Hoa Cúc Phương - 72C, Dĩ An, Bình Dương, Vietnam",Bình Dương
39821588,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),"10B, đại lộ Hữu Nghị, (khu công nghiệp Vietnam - Singapore, cổng VSIP1), phường Bình Hòa, Thành phố Hồ Ch Minh, Vietnam., Thuận An, Bình Dương, Vietnam",Bình Dương
64540148,Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),"Số 68 đường Lê Duẩn, Phường Bình Dương, Thành phố Hồ Ch Minh, Vietnam, Hòa Phú, Bình Dương",Bình Dương
479494,The Mira Hotel,"555B, Đại lộ Bình Dương, Thành Phố Thủ Dầu Một, Tỉnh Bình Dương, Vietnam, Thủ Dầu Một, Bình Dương",Bình Dương
39830693,Căn hộ The Emerald Golf View (The Emerald Golf View Apartment),"68 Đại lộ Bình Dương, Lái Thiêu, Thuận An, Bình Dương, Vietnam",Bình Dương
5396372,The Mira Boutique Hotel,"318A Binh Duong Boulevard, Thủ Dầu Một, Bình Dương, Vietnam",Bình Dương
