region_name	processed_region_link
Quảng Ninh	https://www.agoda.com/vi-vn/search?lastSearchedCity=17182&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyNiTzdQp8D765%2FhRfoSi0pwuNhLHCoBgPrCUvdpT6ai8QhkWcBNFEpn6xeHi6cixdjXt%2Ff8sHwIFP87yU%2BsOwN920t3c82nJ%2Fp%2B0GXkwK5hQ9rQBqIIqVpaxX8H38lVRbDg6HQ8d7WIh%2BLHir20Yp7wMj%2BxG%2F0EXyqEpLKdlme8IQ%3D&city=17182&tick=638971724883&locale=vi-vn&currency=VND&correlationId=ef3fc8c9-1151-4d4a-b572-f0c5b77d8031&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-s49k5&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=H%E1%BA%A1+Long&productType=-1&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P
Quảng Trị	https://www.agoda.com/vi-vn/search?lastSearchedCity=17182&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyNaVcVrbbcbbBVJfi%2F7uLzzvzwhO2gTDtEjZovBViWdTRsIkQMwaifujhUq0ULBm4TQZfLJNra1fN6ccKKSQZJUaB9JsellM9fmpWT0KhoFRwKkDMnL4g9wiFkiVcKUPLKKZS7Lolwan81pKJIDLOipNz6AO3h4Jl%2FpKA6X5alFhZBiXdXWLL2dv7SrEzRHpCa&city=204067&tick=638971725297&locale=vi-vn&currency=VND&correlationId=89767638-0cbc-42d7-8622-9c9f1e56425b&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-l24hb&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=%C4%90%C3%B4ng+H%C3%A0+%28Qu%E1%BA%A3ng+Tr%E1%BB%8B%29&productType=-1&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P
Quảng Trị	https://www.agoda.com/vi-vn/search?
Sóc Trăng	https://www.agoda.com/vi-vn/search?lastSearchedCity=1178&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyNnfip87CO1Zs5cFeENZLSy538Z%2F5ng333ws%2FDM5tDNQg%2B4wKWwsw6ey976CJUmHFri8uU2yYyF8tNmwjruwEIWnSk%2FM8eVuQYqDHVLhv%2F6oOeHmjHpjc%2F1fMe1uf%2B0F2rTxafI40fE1MfCmFcWbzRt0A9ZvKqYuIH382Z5Xz4lVY%3D&city=115748&tick=638971725909&locale=vi-vn&currency=VND&correlationId=119b73f9-6ec2-4785-a6cd-99695348ab97&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-rngfw&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=S%C3%B3c+Tr%C4%83ng&productType=-1&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P
Sơn La	https://www.agoda.com/vi-vn/search?lastSearchedCity=711901&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyNmgWTwq44JiDpGuiq7ItCY2NRI0CSek9RQPuvRR5qewjjV1zj6YVaFpr1VyRjFJKrjTKXV4OP2hYu%2BWHm%2BmZgK%2B%2FlnvFk9rWm5OzcXC1vb%2FvcgZFHogS%2FlQdbsZIuQSqcnHq88%2Fxu%2FdPJq77CU3mtK8j%2BxG%2F0EXyqEpLKdlme8IQ%3D&city=204068&tick=638971726083&locale=vi-vn&currency=VND&correlationId=6df850d8-42ec-4684-b17c-2c08b099e16c&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-l24hb&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=S%C6%A1n+La&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P&productType=-1
Tây Ninh	https://www.agoda.com/vi-vn/search?lastSearchedCity=13170&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyNcJUnQvtDEWuJylAyllJgaAotLGnJ4%2FR%2F3i4krnnZtHghkWcBNFEpn6xeHi6cixdjXt%2Ff8sHwIFP87yU%2BsOwN920t3c82nJ%2Fp%2B0GXkwK5hQ%2FEp1quTEUG1i%2BU7%2Bq0wYMemsu%2Bz1dvb8EW68kSpK52tVur%2Ftc%2B54Iv4fnCDM4f8d8%3D&city=115751&tick=638971726251&locale=vi-vn&currency=VND&correlationId=3c94fa06-b140-466f-9894-402292453e8c&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-dcq5t&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=T%C3%A2y+Ninh&productType=-1&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P
Thái Bình	https://www.agoda.com/vi-vn/search?lastSearchedCity=9395&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyN3zwsKpIqUu3d1lkcggqYjW9DTb6jqL34y2KOUp15z50%2B4wKWwsw6ey976CJUmHFri8uU2yYyF8tNmwjruwEIWnSk%2FM8eVuQYqDHVLhv%2F6oNXWqc56FeCbO3DiLoD8Z%2FaZJEdsYaEJMiUIihE4nY7LkA9ZvKqYuIH382Z5Xz4lVY%3D&city=115753&tick=638971726396&locale=vi-vn&currency=VND&correlationId=23020084-7afa-42c9-8e94-78d74495a4a8&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-4jmmd&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=Th%C3%A1i+B%C3%ACnh&productType=-1&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P
Thái Nguyên	https://www.agoda.com/vi-vn/search?lastSearchedCity=9395&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyN3zwsKpIqUu3d1lkcggqYjYAZPqXNx8tq4v36F8JC%2F7tybTxOvcY1AdJR4YHxdwnweYcrH5c6ir5JZpvIExKSZOKWkw%2BVR6ubBXVQogp%2B7J6TtRM7qN%2BYdMqb%2BHlD2IZXYimuwDZ14JhosUhXTAz185hM60DaWL%2BTQt%2FOYe5eJhk%3D&city=115754&tick=638971726533&locale=vi-vn&currency=VND&correlationId=974a869e-bd02-4cc7-9020-f05b2e1f0f77&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-7vfc9&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=Th%C3%A1i+Nguy%C3%AAn&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P&productType=-1
Thanh Hóa	https://www.agoda.com/vi-vn/search?lastSearchedCity=17190&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyNCHctePQhLRMrKA3vJxOjtDWza8sHVmCmwtt3sk79FKfEOIunRaPtnmGSvVJo%2F6JqNfICaxZtmpaYMkC66zj55%2F3dEOd1ah9exIfTymOS1wFttiEC19Vj5LClSDnH9ADhI%2BPy0bbD2ZDiTiCtPHD%2BhcZvqJUOjgU4hGImOTdpQmDZlP4X%2Bj6jh6jsLgCiV885&city=105661&tick=638971726715&locale=vi-vn&currency=VND&correlationId=234635f4-064f-4701-a5e9-e6ec313b0127&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-c7kzc&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=Thanh+Hoá+%2F+Bãi+biển+Sầm+Sơn&productType=-1&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P
Thanh Hóa	https://www.agoda.com/vi-vn/search?lastSearchedCity=105661&asq=DGdSYo0CvFm6Ih0NBpaAPpufa9Vwpz6XltTHq4n%2B9gN5ZZLftax4Zadaq%2Flw%2FZyNCHctePQhLRMrKA3vJxOjtL51E1rbEPCYkU7KIekbGZpBl8sk2trV83pxwopJBklRoH0mx6WUz1%2BalZPQqGgVHAqQMycviD3CIWSJVwpQ8sruYVnVg4u3r3Wm0fN7ashJfapC1xkSCO%2FZbgpc8mAyukGJd1dYsvZ2%2FtKsTNEekJo%3D&city=115756&tick=638971726899&locale=vi-vn&currency=VND&correlationId=cca5f2f4-ac45-4de8-bac6-e4ca078f9fd4&pageTypeId=103&realLanguageId=24&languageId=24&origin=VN&stateCode=HN&cid=1922896&tag=7adbeb35-4108-414c-9559-32893b4cdfe5&whitelabelid=1&loginLvl=0&storefrontId=3&currencyId=78&currencyCode=VND&htmlLanguage=vi-vn&cultureInfoName=vi-vn&machineName=hk-pc-2f-acm-web-user-75869d7f67-s49k5&trafficGroupId=5&trafficSubGroupId=122&aid=82361&useFullPageLogin=true&cttp=4&isRealUser=true&mode=production&browserFamily=Chrome&cdnDomain=agoda.net&checkIn=2025-10-29&checkOut=2025-10-31&rooms=1&adults=2&children=0&priceCur=VND&los=2&textToSearch=Thanh+H%C3%B3a&travellerType=1&familyMode=off&ds=N%2FLNfGY6XS%2BIUP7P&productType=-1
