room_type_id,room_amenities,amenity_group
1,"[{'amenity': 'Diện tích phòng: 18 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Điều hòa cá nhân', 'type': 'confirmation-instant'}, {'amenity': 'Phòng tắm đứng', 'type': 'confirmation-instant'}]",
2,"[{'amenity': 'Diện tích phòng: 30 m²', 'type': 'sqm'}, {'amenity': 'Hướng Núi', 'type': 'views'}, {'amenity': '1 giường lớn', 'type': 'bed'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Giường cực dài', 'type': 'extra-long-beds'}, {'amenity': 'Rèm che ánh sáng', 'type': 'blackout-curtains'}, {'amenity': 'tầng thấp', 'type': 'low-floor'}, {'amenity': 'Hành lang ngoài', 'type': 'confirmation-instant'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}]",
3,"[{'amenity': 'Diện tích phòng: 45 m²', 'type': 'sqm'}, {'amenity': 'Hướng Núi', 'type': 'views'}, {'amenity': '2 giường lớn', 'type': 'bed'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ mở', 'type': 'NULL'}, {'amenity': 'Giường cực dài', 'type': 'extra-long-beds'}, {'amenity': 'Rèm che ánh sáng', 'type': 'blackout-curtains'}, {'amenity': 'tầng thấp', 'type': 'low-floor'}, {'amenity': 'Cho phép hút thuốc', 'type': 'smoking-allowed'}, {'amenity': 'Hành lang ngoài', 'type': 'confirmation-instant'}]",
4,"[{'amenity': 'Diện tích phòng: 20 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '1 giường lớn', 'type': 'bed'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Giường cực dài', 'type': 'extra-long-beds'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa cá nhân', 'type': 'confirmation-instant'}, {'amenity': 'Nước đóng chai miễn phí', 'type': 'complimentary-bottled-water'}, {'amenity': 'Ấm nước điện', 'type': 'confirmation-instant'}]",
5,"[{'amenity': 'Diện tích phòng: 35 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường đôi lớn hoặc 2 giường đơn', 'type': 'bed'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}]",
6,"[{'amenity': 'Diện tích phòng: 50 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}]",
7,"[{'amenity': 'Diện tích phòng: 54 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}]",
8,"[{'amenity': 'Diện tích phòng: 60 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}]",
9,"[{'amenity': 'Diện tích phòng: 63 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}]",
10,"[{'amenity': 'Diện tích phòng: 71 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '2 giường đơn và 1 giường đôi lớn hoặc 2 giường đôi lớn', 'type': 'bed'}, {'amenity': '2 phòng tắm', 'type': 'bathrooms'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}]",
