room_type_id,price_option_name,price_option_price,price_amenities_for_price
1,Thông tin sức chứa phòng: 2 người lớn.,"289.522
₫","['Miễn phí hủy trước 17 tháng 11 2025\n\ntooltip\n\nĐặt phòng không có rủi ro! Hủy trước 17 tháng 11 2025 và quý khách sẽ không phải trả gì cả!\n\nBất kỳ việc hủy phòng nào ghi nhận được vào ngày nhận phòng sẽ phải trả một khoản tiền là 46% giá trị đặt phòng. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 46% giá trị đặt phòng (Quy định của khách sạn).', 'Thanh toán tại nơi ở', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'WiFi miễn phí']"
2,Thông tin sức chứa phòng: 2 người lớn.,"361.111
₫","['Miễn phí hủy trước 17 tháng 11 2025\n\ntooltip\n\nĐặt phòng không có rủi ro! Hủy trước 17 tháng 11 2025 và quý khách sẽ không phải trả gì cả!\n\nBất kỳ việc hủy phòng nào ghi nhận được vào ngày nhận phòng sẽ phải trả một khoản tiền là 50% giá trị đặt phòng. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 50% giá trị đặt phòng (Quy định của khách sạn).', 'Thanh toán tại nơi ở', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'Nhận phòng nhanh', 'WiFi miễn phí']"
3,Thông tin sức chứa phòng: 4 người lớn và 2 trẻ em.,"601.852
₫","['Miễn phí hủy trước 17 tháng 11 2025\n\ntooltip\n\nĐặt phòng không có rủi ro! Hủy trước 17 tháng 11 2025 và quý khách sẽ không phải trả gì cả!\n\nBất kỳ việc hủy phòng nào ghi nhận được vào ngày nhận phòng sẽ phải trả một khoản tiền là 50% giá trị đặt phòng. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 50% giá trị đặt phòng (Quy định của khách sạn).', 'Thanh toán tại nơi ở', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'Nhận phòng nhanh', 'WiFi miễn phí']"
4,Thông tin sức chứa phòng: 2 người lớn.,"425.926
₫","['Miễn phí hủy trước 17 tháng 11 2025\n\ntooltip\n\nĐặt phòng không có rủi ro! Hủy trước 17 tháng 11 2025 và quý khách sẽ không phải trả gì cả!\n\nBất kỳ việc hủy phòng nào ghi nhận được vào ngày nhận phòng sẽ phải trả một khoản tiền là 50% giá trị đặt phòng. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 50% giá trị đặt phòng (Quy định của khách sạn).', 'Thanh toán tại nơi ở', 'Đặt không cần thẻ tín dụng', 'Bãi đậu xe', 'Nhận phòng nhanh']"
5,Thông tin sức chứa phòng: 2 người lớn.,"1.450.000
₫","['Có bữa sáng (204.120 ₫/người)', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
5,Thông tin sức chứa phòng: 2 người lớn.,"1.810.000
₫","['Kèm bữa sáng', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
5,Thông tin sức chứa phòng: 1 người lớn.,"1.630.000
₫","['Kèm bữa sáng', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
6,Thông tin sức chứa phòng: 2 người lớn.,"1.650.000
₫","['Có bữa sáng (204.120 ₫/người)', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
6,Thông tin sức chứa phòng: 2 người lớn.,"2.010.000
₫","['Kèm bữa sáng', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
6,Thông tin sức chứa phòng: 1 người lớn.,"1.830.000
₫","['Kèm bữa sáng', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
7,Thông tin sức chứa phòng: 2 người lớn.,"1.800.000
₫","['Có bữa sáng (204.120 ₫/người)', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
7,Thông tin sức chứa phòng: 2 người lớn.,"2.160.000
₫","['Kèm bữa sáng', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
7,Thông tin sức chứa phòng: 1 người lớn.,"1.980.000
₫","['Kèm bữa sáng', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
8,Thông tin sức chứa phòng: 2 người lớn.,"1.950.000
₫","['Có bữa sáng (204.120 ₫/người)', 'Chính sách hủy\n\ntooltip\n\nBất kỳ việc hủy phòng nào ghi nhận được trong vòng 3 ngày trước ngày đến sẽ phải trả khoản tiền đêm đầu tiên. Bất kỳ việc hủy phòng nào ghi nhận được trong vòng 1 ngày trước ngày đến sẽ phải trả phí cho toàn bộ thời gian ở. Không đến khách sạn hoặc chỗ nghỉ sẽ được giải quyết như là Vắng Mặt và sẽ phải trả một khoản tiền là 100% giá trị đặt phòng (Quy định của khách sạn).', 'Đặt và trả tiền ngay', 'WiFi miễn phí']"
