hotel_id,hotel_name,hotel_address,region,hotel_address_cleaned,cleaned_address,location,latitude,longitude
71897952,Nha Nghi Nhung - Nhung Motel,"73 Đoàn Thị Điểm, Bà Rịa, Bà Rịa, Việt Nam",Bà Rịa,"73 Đoàn Thị Điểm, Bà Rịa, Bà Rịa, Việt Nam","73 Đoàn Thị Điểm, Bà Rịa, Việt Nam","Đoàn Thị Điểm, Phường Bà Rịa, Thành phố Hồ Chí Minh, 78106, Việt Nam",10.5056134,107.1816812
49685029,Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),"KDC Baria City Gate, Long Huong Ward, Ba Ria City, Ba Ria - Vung Tau Province 3, 3, Bà Rịa, Bà Rịa, Việt Nam, 90000",Bà Rịa,"KDC Baria  Gate, Long Huong Phường, Ba Ria , Ba Ria , Vung Tau  3, 3, Bà Rịa, Bà Rịa, Việt Nam, 90000","KDC Baria City Gate, Long Huong Ward, Ba Ria City, Ba Ria - Vung Tau Province 3, Bà Rịa, Việt Nam",,,
65481766,Baly Hotel Bà Rịa City (Baly Hotel Ba Ria City),"QL51, Bà Rịa, Bà Rịa, Việt Nam",Bà Rịa,"QL51, Bà Rịa, Bà Rịa, Việt Nam","QL51, Bà Rịa, Việt Nam","Trường Đại học Dầu khí Việt Nam, Cách Mạng Tháng Tám, Khu phố 7, Phường Bà Rịa, Thành phố Hồ Chí Minh, 78107, Việt Nam",10.4854632,107.1947594
5808626,Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương,"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000","Số 328C, Đại lộ Bình Dương, Khu phố Hưng Lộc, Phường Hưng Định, Thuận An, Bình Dương, Việt Nam",,,
10613675,KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam, 821779",Bình Dương,"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam, 821779","153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam",,,
78191120,Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương,"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam","80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Việt Nam",,,
67742118,Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Vietnam, Hòa Phú, Bình Dương, Việt Nam",Bình Dương,"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Việt Nam, Hòa Phú, Bình Dương, Việt Nam","An Dương Vương, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Việt Nam",,,
37848723,Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),"Housing Area 19-8 Hoa Cuc Phuong - 72C, Hoa Cúc Phương - 72C, Dĩ An, Bình Dương, Việt Nam, 75000",Bình Dương,"Housing Area 19,8 Hoa Cuc Phuong , 72C, Hoa Cúc Phương , 72C, Dĩ An, Bình Dương, Việt Nam, 75000","Housing Area 19-8 Hoa Cuc Phuong - 72C, Hoa Cúc Phương - 72C, Dĩ An, Bình Dương, Việt Nam",,,
39821588,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),"10B, đại lộ Hữu Nghị, (khu c ng nghiệp Việt Nam - Singapore, cổng VSIP1), phường B nh H a, th nh phố Hồ Ch Minh, Việt Nam., Thuận An, Bình Dương, Việt Nam, 75000",Bình Dương,"10B, đại lộ Hữu Nghị, phường B nh H a, th nh phố Hồ Ch Minh, Việt Nam., Thuận An, Bình Dương, Việt Nam, 75000","10B, đại lộ Hữu Nghị, (khu công nghiệp Việt Nam - Singapore, cổng VSIP1), phường Bình Hòa, Việt Nam., Thuận An, Bình Dương, Việt Nam",,,
64540148,Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),"Số 68 đường L Duẩn, Phường B nh Dương, Th nh phố Hồ Ch Minh, Việt Nam, Hòa Phú, Bình Dương, Việt Nam, 75000",Bình Dương,"Số 68 đường L Duẩn, Phường B nh Dương, Th nh phố Hồ Ch Minh, Việt Nam, Hòa Phú, Bình Dương, Việt Nam, 75000","Số 68 đường Lê Duẩn, Hòa Phú, Bình Dương, Việt Nam",,,
