hotel_id,room_room_type_name,room_type_id
71897952,Deluxe King,1
49685029,Standard,2
49685029,Family,3
65481766,King,4
5808626,Studio Executive,5
5808626,Studio Premier,6
5808626,Deluxe,7
5808626,Executive,8
5808626,Premier,9
5808626,Executive,10
10613675,Standard - Double,11
10613675,Executive,12
10613675,Superior Triple,13
78191120,Superior King,14
78191120,Superior Twin,15
78191120,Deluxe,16
78191120,Deluxe Twin,17
78191120,Deluxe Executive,18
78191120,Superior Twin,19
78191120,Deluxe,20
78191120,Large Twin,21
78191120,Executive Suite,22
67742118,Double,23
67742118,Twin,24
67742118,One-Bedroom Apartment,25
67742118,Twin Studio,26
37848723,Standard,27
37848723,Superior,28
37848723,Deluxe,29
37848723,Family,30
37848723,Deluxe Family,31
39821588,Superior King,32
39821588,Superior Twin,33
39821588,Premium Deluxe Twin,34
39821588,Premium Deluxe King,35
39821588,Deluxe Twin,36
39821588,Suite,37
39821588,Twin Premium Deluxe Twin,38
39821588,Premium deluxe king double,39
39821588,Premium Suite,40
39821588,Suite Suite,41
64540148,Japan,42
64540148,Deluxe Twin,43
64540148,Business Double,44
64540148,Executive Double,45
479494,Superior,46
479494,Deluxe Double,47
479494,Business Suite Double,48
479494,Business Suite Twin,49
479494,Suite,50
479494,Apartment,51
39830693,1-Bedroom Apartment,52
39830693,Apartment,53
39830693,2-Bedroom Apartment 2 Bathrooms,54
5396372,Superior Double,55
5396372,Superior Twin,56
5396372,Superior Single,57
5396372,Deluxe Double,58
5396372,Deluxe,59
5396372,Deluxe Single,60
5396372,Executive Suite King,61
5396372,Executive suite,62
5396372,Standard Double,63
5396372,1-Bedroom Penthouse,64
5396372,Apartment,65
5396372,Suite Penthouse,66
25559635,"Guest room, 1 King",67
80191425,Double,68
80191425,Deluxe Double or Twin,69
1202485,Twin Suite,70
66152104,Standard,71
66152104,Family,72
51816388,Superior Twin,73
51816388,Superior King,74
51816388,Deluxe Twin,75
51816388,Deluxe King,76
51816388,Premium Deluxe Twin,77
51816388,Premium Deluxe King,78
67419926,Studio Standard,79
67419926,Studio Deluxe,80
67419926,Premier Studio,81
67419926,Studio,82
67419926,Tầng Trệt,83
67419926,Studio,84
67419926,Studio,85
561997,Standard Double Bed,86
561997,Superior Twin bed,87
561997,Superior Double Bed,88
561997,Deluxe Twin Bed,89
561997,"Deluxe Double Beds Room, Guest",90
561997,Suites,91
61697133,Standard Apartment 1 Bedroom,92
61697133,Standard Condo 2 Bedroom,93
7520557,Superior 2,94
7520557,Family Club Suite,95
38746777,1-Bedroom Studio Apartment,96
38746777,Mezzanine Triple Suite,97
38746777,Apartment,98
38746777,Premium One Bedroom Apartment,99
527777,Standard Suite,100
527777,Executive Suite,101
22807385,Deluxe,102
22807385,King Room Two King Beds,103
27753977,Deluxe Double,104
41243100,Standard,105
41243100,Deluxe,106
41243100,Deluxe Room 1 King Bed,107
6592834,Standard,108
6592834,Deluxe,109
45902478,Deluxe Double,110
45902478,Superior King,111
45902478,Family,112
45902478,Double,113
2513138,Double,114
2513138,Superior Double,115
2513138,Standard Triple,116
2513138,Triple,117
2513138,Penthouse Apartment,118
2513138,Family,119
47144675,Double,120
47144675,Premier Twin Suite,121
47144675,Deluxe Queen Room 2,122
48051693,Double,123
48051693,Double Room Two Double Beds,124
48051693,Deluxe Double or Twin,125
78472374,Standard,126
78472374,Deluxe,127
32790491,Apartment,128
32790491,Apartment 2 Beds and Kitchenette,129
32790491,One-Bedroom Apartment,130
21585838,Chỉ Gồm Phòng Nghỉ,131
21585838,Deluxe Triple,132
21585838,Deluxe Quad,133
21585838,Deluxe Quadruple Suite,134
21585838,Quadruple,135
44688885,Double,136
41771557,Superior - 1 King Bed,137
67746367,Deluxe Double,138
67746367,Premier,139
67746367,Premier Twin,140
67746367,Apartment - 2 Double Beds,141
67746367,King Room Two King Beds,142
30507403,Standard Double,143
30507403,Suite,144
72814400,Double,145
72814400,King,146
72814400,Family,147
78189963,Standard,148
78189963,Deluxe Double or Twin,149
78189963,Deluxe,150
78189963,Large Twin,151
55477674,Double,152
55477674,Quadruple,153
5780603,Standard,154
25134310,King,155
517570,King,156
517570,Family Room Bath,157
51973678,Superior King,158
51973678,Standard Double Room without,159
51973678,Superior Twin Bedroom,160
51973678,Twin,161
51973678,Deluxe Suite,162
51973678,Execuitve Suite,163
51973678,Deluxe Room Fan,164
51973678,Family,165
36627918,Standard,166
36627918,Quadruple,167
45049879,Standard,168
42822207,Double,169
42822207,Standard Double,170
42822207,Superior Double,171
42822207,Deluxe Double,172
42822207,Family,173
62514499,Double,174
62514499,Triple,175
62514499,Quadruple,176
60535333,Standard Double,177
60535333,Superior Double,178
60535333,Superior Double,179
60535333,Deluxe Double,180
60535333,Deluxe Double,181
4210278,Standard King,182
4210278,Deluxe Double,183
74448281,Double,184
74448281,Twin,185
75561452,Apartment,186
47676608,Standard,187
47676608,Superior Suite,188
66736330,Standard,189
37968433,Standard King,190
37968433,Deluxe King Room Sofa Bed -,191
37968433,Premium Double or Twin,192
37718196,Deluxe Standard,193
37718196,Superior Queen,194
37718196,Deluxe Studio,195
37718196,Classic Triple,196
61415768,Standard Double,197
61415768,Deluxe Double,198
61415768,Superior Quadruple,199
65492084,Standard Individual,200
65492084,Standard,201
65492084,Triple Superior,202
65492084,Quadruple,203
65492084,Double 2 Double Beds,204
50419039,1-Bedroom Apartment Kitchen,205
50419039,Two-Bedroom One Bathroom Apartment,206
50419039,Two-Bedroom Two Bathroom Apartment,207
1590651,Economy Double,208
1590651,Standard Double,209
1590651,Deluxe Double,210
1590651,One-Bedroom Apartment,211
21724717,Superior 2,212
21724717,Family Club Suite,213
773934,Superior,214
