iter	RMSE
0	0.5893239207
1	0.5828015401
2	0.5759234729
3	0.570577951
4	0.565215104
5	0.5601037873
6	0.5546098332
7	0.549757044
8	0.544532781
9	0.5405910159
10	0.5361869478
11	0.5321698192
12	0.5281780624
13	0.5235018214
14	0.5192436432
15	0.5167153584
16	0.513952869
17	0.5110353463
18	0.5071263419
19	0.503689392
20	0.5005208054
21	0.4981469527
22	0.4948191345
23	0.4924635257
24	0.4898032737
25	0.487564234
26	0.4854106024
27	0.4830623666
28	0.480251433
29	0.4779098998
30	0.4753098669
31	0.473778208
32	0.4716625403
33	0.4692760823
34	0.4680578046
35	0.4666248386
36	0.4653499154
37	0.4638510652
38	0.4621977646
39	0.4604493295
40	0.4583626129
41	0.4574737309
42	0.4556542943
43	0.4542256977
44	0.4531277933
45	0.4525644689
46	0.4515720804
47	0.4497536805
48	0.4490884069
49	0.4483628549
50	0.4460455153
51	0.4441341268
52	0.4422781196
53	0.4406520276
54	0.4399146473
55	0.4381605637
56	0.4371978822
57	0.4363310194
58	0.4353134599
59	0.4347285193
60	0.4335462865
61	0.4329350169
62	0.4315820649
63	0.430933677
64	0.4297554783
65	0.4284193901
66	0.4277941561
67	0.4265753744
68	0.4259725864
69	0.425501586
70	0.4249748991
71	0.424418241
72	0.4234614608
73	0.4230776409
74	0.4224414219
75	0.4215409778
76	0.4203328591
77	0.4192202662
78	0.4182218309
79	0.4172968517
80	0.4167196216
81	0.4151666646
82	0.4144667711
83	0.4136676949
84	0.4124611404
85	0.4111297413
86	0.4103608647
87	0.4096939755
88	0.4087362362
89	0.4081862105
90	0.4074722728
91	0.406858645
92	0.4064324703
93	0.4057959393
94	0.4039714615
95	0.4033555815
96	0.402617991
97	0.4014680905
98	0.4005388742
99	0.4000745462
100	0.3994614558
101	0.3984794946
102	0.396814998
103	0.3964135189
104	0.3959663582
105	0.3954370839
106	0.3945191676
107	0.3937397934
108	0.3926204241
109	0.3919956978
110	0.3910850597
111	0.3902512853
112	0.3896083383
113	0.3893483379
114	0.3887801531
115	0.3881740775
116	0.3872667503
117	0.3867085405
118	0.3857323567
119	0.3844081982
120	0.3829394013
121	0.3816751973
122	0.3807935374
123	0.3800263205
124	0.3791829856
125	0.3784079015
126	0.3776866944
127	0.3768633067
128	0.3764992274
129	0.3753712013
130	0.3741897153
131	0.3735913672
132	0.3732396154
133	0.3726864002
134	0.3719902948
135	0.3709977638
136	0.3696785235
137	0.3692738785
138	0.3686225333
139	0.3682567345
140	0.3677976947
141	0.3672597754
142	0.3658808478
143	0.365342133
144	0.3646445437
145	0.3640539862
146	0.3630768473
147	0.3622398951
148	0.3616751221
149	0.3609908368
150	0.3601436956
151	0.359751012
152	0.3591160412
153	0.3588099918
154	0.3582176094
155	0.3578073172
156	0.3568869355
157	0.3562889116
158	0.3558565726
159	0.3545480696
160	0.3539255371
161	0.353326425
162	0.3528427252
163	0.3521052133
164	0.3512904278
165	0.3502450847
166	0.3492212902
167	0.3480921265
168	0.3477312033
169	0.3469823063
170	0.3463574257
171	0.3460448573
172	0.3453453896
173	0.3445493352
174	0.3442152687
175	0.3438283134
176	0.3429560096
177	0.3422593129
178	0.3415636029
179	0.3409726441
180	0.3404514721
181	0.3398491356
182	0.3391055379
183	0.3386092824
184	0.338312412
185	0.3379452605
186	0.3371690326
187	0.3365257155
188	0.3360658404
189	0.33567166
190	0.3348965106
191	0.3344265035
192	0.3339743893
193	0.3333671818
194	0.3330857572
195	0.3326249269
196	0.3323503443
197	0.331746686
198	0.3311565971
199	0.3307648188
200	0.3304027397
201	0.3300434337
202	0.3292378418
203	0.3283557741
204	0.3276533508
205	0.3272913193
206	0.3267344133
207	0.3262766717
208	0.3257254005
209	0.3250722934
210	0.3246073885
211	0.3245417692
212	0.3243207511
213	0.3239293335
214	0.3234465357
215	0.3229302514
216	0.322573534
217	0.3225187013
218	0.3215757844
219	0.3215185106
220	0.3211227182
221	0.3207453967
222	0.3206923366
223	0.3206210342
224	0.3200388266
225	0.3199907699
226	0.3192888512
227	0.318915906
228	0.3180270999
229	0.3172364478
230	0.317194265
231	0.3166285722
232	0.3161974697
233	0.3161527537
234	0.3154226235
235	0.3150754688
236	0.3146216689
237	0.3138992712
238	0.3138486555
239	0.3132527997
240	0.3124609077
241	0.3124201586
242	0.3119401853
