iter	Passed	Remaining
0	145	144920
1	148	74206
2	153	51001
3	154	38563
4	158	31563
5	162	26918
6	166	23584
7	171	21266
8	176	19415
9	181	17977
10	187	16866
11	192	15848
12	197	15018
13	202	14271
14	207	13651
15	212	13039
16	215	12471
17	219	11976
18	223	11560
19	227	11167
20	232	10825
21	236	10507
22	240	10201
23	244	9945
24	249	9744
25	254	9550
26	258	9331
27	262	9121
28	266	8926
29	270	8744
30	274	8570
31	277	8407
32	281	8250
33	285	8106
34	289	7972
35	293	7854
36	297	7744
37	301	7634
38	305	7529
39	309	7419
40	312	7316
41	316	7216
42	320	7126
43	324	7041
44	327	6959
45	331	6873
46	334	6790
47	338	6716
48	342	6642
49	345	6568
50	349	6496
51	353	6435
52	356	6368
53	360	6308
54	364	6254
55	368	6216
56	373	6171
57	376	6119
58	381	6079
59	385	6047
60	390	6005
61	395	5976
62	399	5943
63	405	5927
64	409	5896
65	415	5873
66	420	5850
67	425	5836
68	430	5814
69	437	5815
70	443	5800
71	448	5782
72	455	5783
73	462	5781
74	469	5785
75	475	5777
76	481	5776
77	487	5766
78	492	5743
79	497	5719
80	502	5699
81	506	5674
82	511	5651
83	516	5630
84	520	5608
85	526	5590
86	531	5576
87	536	5556
88	540	5531
89	546	5521
90	551	5504
91	555	5486
92	559	5459
93	565	5449
94	569	5425
95	573	5401
96	577	5377
97	582	5358
98	586	5337
99	590	5310
100	593	5281
101	597	5257
102	600	5233
103	604	5207
104	607	5181
105	611	5158
106	615	5134
107	618	5109
108	622	5086
109	625	5062
110	629	5041
111	633	5020
112	636	5000
113	640	4979
114	644	4959
115	647	4938
116	651	4915
117	654	4893
118	658	4873
119	662	4856
120	665	4835
121	669	4815
122	672	4797
123	676	4779
124	680	4762
125	684	4745
126	687	4727
127	691	4709
128	694	4692
129	698	4676
130	702	4659
131	706	4643
132	710	4630
133	714	4614
134	717	4600
135	721	4583
136	725	4567
137	728	4553
138	732	4538
139	735	4519
140	739	4503
141	742	4488
142	746	4472
143	749	4457
144	753	4442
145	757	4429
146	761	4416
147	764	4402
148	768	4388
149	772	4376
150	776	4363
151	779	4350
152	783	4336
153	786	4321
154	790	4307
155	793	4293
156	797	4280
157	800	4266
158	803	4252
159	807	4239
160	811	4226
161	814	4212
162	817	4200
163	821	4187
164	825	4177
165	829	4165
166	832	4153
167	835	4140
168	839	4128
169	843	4116
170	846	4104
171	849	4090
172	853	4077
173	856	4066
174	860	4055
175	863	4042
176	866	4031
177	870	4020
178	874	4009
179	877	3999
180	881	3988
181	885	3980
182	890	3977
183	895	3972
184	900	3965
185	903	3955
186	907	3947
187	912	3939
188	916	3930
189	920	3923
190	925	3920
191	930	3914
192	935	3909
193	940	3906
194	945	3902
195	950	3897
196	972	3965
197	978	3961
198	982	3955
199	988	3955
200	994	3951
201	1000	3952
202	1007	3955
203	1014	3958
204	1022	3964
205	1029	3968
206	1037	3975
207	1043	3974
208	1049	3972
209	1055	3969
210	1060	3966
211	1066	3964
212	1071	3960
213	1075	3951
214	1080	3945
215	1085	3938
216	1089	3931
217	1094	3927
218	1101	3928
219	1107	3925
220	1113	3923
221	1119	3923
222	1125	3921
223	1131	3920
224	1139	3926
225	1147	3928
226	1153	3928
227	1159	3924
228	1165	3922
229	1173	3927
230	1179	3925
231	1186	3926
232	1192	3926
233	1198	3923
234	1204	3921
235	1214	3931
236	1221	3931
237	1225	3924
238	1232	3923
239	1237	3919
240	1242	3912
241	1246	3905
242	1250	3896
243	1255	3889
244	1259	3881
245	1263	3873
246	1267	3863
247	1271	3855
248	1274	3844
249	1278	3835
250	1282	3825
251	1285	3816
252	1289	3807
253	1293	3798
254	1297	3789
255	1300	3780
256	1304	3771
257	1307	3761
258	1311	3752
259	1315	3744
260	1319	3735
261	1323	3728
262	1328	3721
263	1331	3713
