iter	RMSE
0	6410518.378
1	6351163.269
2	6305476.71
3	6273719.527
4	6212350.529
5	6129249.217
6	6119471.56
7	6100439.503
8	6094951.597
9	6085647.155
10	6074389.559
11	6072759.935
12	6042973.968
13	6037688.178
14	6034403.979
15	6013728.655
16	6003004.719
17	6002431.603
18	5979951.71
19	5925049.883
20	5923166.362
21	5886067.355
22	5883919.546
23	5882903.345
24	5881042.799
25	5863268.559
26	5852045.433
27	5817683.949
28	5814504.479
29	5812321.172
30	5812159.901
31	5787274.153
32	5787194.293
33	5779347.372
34	5778768.66
35	5776246.237
36	5775172.42
37	5740460.057
38	5738372.017
39	5738051.975
40	5737246.58
41	5724880.811
42	5724731.125
43	5701747.338
44	5699097.319
45	5699080.394
46	5687626.26
47	5679727.625
48	5674872.829
49	5673541.675
50	5667035.521
51	5664369.057
52	5663380.44
53	5662504.231
54	5656839.349
55	5654193.001
56	5630825.339
57	5620106.226
58	5598326.573
59	5588353.301
60	5585484.742
61	5581281.725
62	5579152.096
63	5575312.354
64	5572439.542
65	5567062.262
66	5563829.386
67	5562384.998
68	5545049.419
69	5544098.347
70	5542796.032
71	5542403.073
72	5541649.99
73	5535341.798
74	5534736.753
75	5524491.378
76	5522101.137
77	5521354.87
78	5510533.305
79	5510190.587
80	5509747.548
81	5509513.385
82	5502237.434
83	5500309.974
84	5493725.005
85	5481873.257
86	5479717.359
87	5474366.28
88	5472525.553
89	5471811.359
90	5471154.222
91	5466810.195
92	5465175.021
93	5464993.228
94	5456606.161
95	5455993.461
96	5455108.756
97	5454582.201
98	5452686.939
99	5451602.328
