iter	Passed	Remaining
0	21	2147
1	45	2251
2	71	2305
3	103	2489
4	127	2416
5	151	2371
6	165	2194
7	188	2162
8	210	2131
9	234	2106
10	255	2067
11	280	2059
12	304	2034
13	331	2036
14	358	2033
15	383	2014
16	407	1990
17	427	1949
18	452	1928
19	475	1903
20	500	1882
21	526	1864
22	550	1843
23	575	1821
24	598	1796
25	622	1771
26	646	1748
27	670	1724
28	693	1697
29	719	1677
30	736	1638
31	759	1613
32	772	1568
33	794	1541
34	817	1518
35	842	1497
36	867	1477
37	891	1454
38	917	1434
39	942	1413
40	967	1392
41	993	1372
42	1023	1357
43	1047	1332
44	1068	1305
45	1087	1276
46	1108	1250
47	1130	1224
48	1151	1198
49	1173	1173
50	1201	1154
51	1234	1139
52	1259	1117
53	1285	1094
54	1307	1069
55	1332	1046
56	1352	1020
57	1372	994
58	1392	967
59	1412	941
60	1443	922
61	1466	899
62	1488	874
63	1513	851
64	1538	828
65	1562	805
66	1584	780
67	1606	756
68	1632	733
69	1653	708
70	1673	683
71	1696	659
72	1717	635
73	1740	611
74	1767	589
75	1794	566
76	1821	544
77	1844	520
78	1867	496
79	1888	472
80	1910	448
81	1931	424
82	1954	400
83	1975	376
84	1997	352
85	2025	329
86	2046	305
87	2069	282
88	2092	258
89	2113	234
90	2136	211
91	2159	187
92	2180	164
93	2204	140
94	2229	117
95	2249	93
96	2273	70
97	2298	46
98	2320	23
99	2342	0
