room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,price_option_price,adults_number,children_number,bãi_đậu_xe,phòng_tập,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,vào_hồ_bơi_miễn_phí,đã_kèm_bữa_sáng,hotel_id,room_room_type_name,hotel_name,hotel_address,region
1.0,1,1,1,1,1,1,1,1,1,1.0,18.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,289522.0,2.0,0.0,1,1,1,1,1,1,1,71897952.0,Phòng Deluxe Có Giường Cỡ King (Deluxe King Room),Nha Nghi Nhung - Nhung Motel,"73 Đoàn Thị Điểm, Bà Rịa, Bà Rịa, Việt Nam",Bà Rịa
2.0,1,1,1,1,1,1,1,1,1,1.0,30.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,361111.0,2.0,0.0,1,1,1,1,1,1,1,49685029.0,Phòng Tiêu Chuẩn (Standard Room),Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),"KDC Baria City Gate, Long Huong Ward, Ba Ria City, Ba Ria - Vung Tau Province 3, 3, Bà Rịa, Bà Rịa, Việt Nam, 90000",Bà Rịa
3.0,1,1,1,1,1,1,1,1,1,1.0,45.0,0.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,601852.0,4.0,2.0,1,1,1,1,1,1,1,49685029.0,Phòng gia đình có ban công (Family Room with Balcony),Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),"KDC Baria City Gate, Long Huong Ward, Ba Ria City, Ba Ria - Vung Tau Province 3, 3, Bà Rịa, Bà Rịa, Việt Nam, 90000",Bà Rịa
4.0,1,1,1,1,1,1,1,1,1,1.0,20.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,425926.0,2.0,0.0,1,1,1,1,1,1,1,65481766.00000001,Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony),Baly Hotel Bà Rịa City (Baly Hotel Ba Ria City),"QL51, Bà Rịa, Bà Rịa, Việt Nam",Bà Rịa
5.0,1,1,1,1,1,1,1,1,1,2.0,35.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1450000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Studio Executive (Studio Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
5.0,1,1,1,1,1,1,1,1,1,2.0,35.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1810000.0000000002,2.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Studio Executive (Studio Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
5.0,1,1,1,1,1,1,1,1,1,2.0,35.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1630000.0,1.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Studio Executive (Studio Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
6.0,1,1,1,1,1,1,1,1,1,1.0,50.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1650000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Studio Premier (Studio Premier),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
6.0,1,1,1,1,1,1,1,1,1,1.0,50.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2010000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Studio Premier (Studio Premier),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
6.0,1,1,1,1,1,1,1,1,1,1.0,50.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1830000.0,1.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Studio Premier (Studio Premier),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
