iter	RMSE
0	5994180.781
1	5983323.527
2	5971387.743
3	5961434.724
4	5952707.53
5	5936864.024
6	5921668.51
7	5909392.39
8	5859602.86
9	5843451.041
10	5773077.843
11	5762841.527
12	5730139.86
13	5723943.54
14	5680366.751
15	5664148.483
16	5660289.724
17	5646302.299
18	5639157.397
19	5634529.104
20	5601571.102
21	5537255.409
22	5473458.336
23	5462503.619
24	5436820.164
25	5433564.14
26	5423170.356
27	5412213.939
28	5408772.728
29	5399137.053
30	5396053.619
31	5347044.916
32	5343291.601
33	5340301.379
34	5330913.783
35	5325887.76
36	5288846.243
37	5250387.941
38	5247663.506
39	5227004.521
40	5224703.213
41	5222347.919
42	5221106.29
43	5218322.601
44	5180260.797
45	5178704.899
46	5177280.635
47	5175073.689
48	5168231.994
49	5166566.995
50	5165528.283
51	5162348.829
52	5156019.626
53	5141668.739
54	5139759.774
55	5108323.824
56	5107141.416
57	5074917.565
58	5062424.656
59	5060861.094
60	5057936.644
61	5047461.693
62	5046230.232
63	5039029.725
64	5034470.486
65	5033013.914
66	5030746.15
67	5029675.914
68	5017336.063
69	4980981.037
70	4979613.594
71	4978800.11
72	4978347.818
73	4922594.977
74	4921717.29
75	4914416.756
76	4911877.039
77	4910757.494
78	4909764.841
79	4908590.497
80	4902884.579
81	4860344.009
82	4856064.375
83	4826662.37
84	4825971.251
85	4824763.891
86	4821558.891
87	4816888.34
88	4816824.448
89	4816032.703
90	4814281.508
91	4813583.639
92	4783213.419
93	4782841.944
94	4777925.96
95	4771082.075
96	4755363.221
97	4753949.145
98	4753340.154
99	4752819.438
100	4720439.744
101	4719747.755
102	4699452.605
103	4677710.105
104	4677207.915
105	4675843.325
106	4675053.133
107	4674202.19
108	4668917.207
109	4668044.146
110	4667584.81
111	4663142.74
112	4662851.203
113	4657526.556
114	4606874.605
115	4606046.851
116	4603094.462
117	4587755.281
118	4586633.533
119	4585013.691
120	4545804.967
121	4544386.465
122	4543303.468
123	4531127.975
124	4531105.704
125	4530526.238
126	4493249.844
127	4490250.312
128	4487994.564
129	4487595.586
130	4471280.878
131	4470783.153
132	4470199.435
133	4469219.585
134	4466327.574
135	4464921.906
136	4464092.136
137	4438751.698
138	4438109.445
139	4427568.425
140	4389516.514
141	4381276.626
142	4380120.833
143	4331501.57
144	4325771.632
145	4325101.497
146	4279225.256
147	4278748.109
148	4274145.906
149	4273080.455
150	4272519.743
151	4272029.146
152	4263553.939
153	4246774.065
154	4246441.012
155	4245563.128
156	4244917.104
157	4229758.523
158	4229358.634
159	4194197.892
160	4182121.034
161	4161765.475
162	4159214.631
163	4157599.799
164	4156274.911
165	4156223.122
166	4153979.37
167	4152650.474
168	4119121.213
169	4118463.346
170	4117598.525
171	4116366.291
172	4115940.123
173	4115089.642
174	4113917.528
175	4100042.789
176	4098613.019
177	4097875.049
178	4089151.926
179	4088238.051
180	4086804.47
181	4085465.568
182	4085240.232
