iter	Passed	Remaining
0	33	16540
1	70	17642
2	97	16229
3	133	16571
4	164	16236
5	189	15607
6	216	15238
7	240	14800
8	270	14759
9	301	14780
10	330	14704
11	359	14630
12	387	14513
13	415	14433
14	439	14209
15	466	14111
16	486	13822
17	512	13715
18	549	13922
19	578	13889
20	608	13887
21	636	13831
22	664	13782
23	689	13665
24	714	13582
25	740	13507
26	767	13442
27	793	13370
28	817	13284
29	841	13185
30	870	13166
31	904	13225
32	938	13286
33	964	13226
34	991	13171
35	1016	13101
36	1045	13086
37	1074	13059
38	1100	13003
39	1130	13002
40	1156	12944
41	1184	12919
42	1213	12893
43	1240	12856
44	1267	12820
45	1294	12780
46	1320	12725
47	1344	12658
48	1369	12609
49	1399	12593
50	1419	12497
51	1447	12469
52	1472	12419
53	1497	12367
54	1521	12311
55	1547	12266
56	1572	12225
57	1600	12193
58	1625	12151
59	1650	12103
60	1670	12022
61	1694	11973
62	1719	11930
63	1757	11974
64	1785	11949
65	1812	11919
66	1836	11867
67	1863	11840
68	1890	11810
69	1918	11785
70	1945	11755
71	1969	11707
72	1996	11679
73	2019	11626
74	2043	11579
75	2065	11521
76	2087	11468
77	2106	11399
78	2127	11338
79	2148	11278
80	2170	11229
81	2190	11166
82	2211	11110
83	2232	11054
84	2252	10997
85	2273	10942
86	2294	10890
87	2314	10835
88	2322	10725
89	2344	10682
90	2365	10631
91	2388	10591
92	2412	10557
93	2439	10538
94	2465	10510
95	2497	10510
96	2522	10480
97	2550	10462
98	2577	10440
99	2606	10426
100	2630	10390
101	2657	10370
102	2689	10365
103	2719	10353
104	2753	10359
105	2780	10334
106	2808	10314
107	2834	10288
108	2858	10253
109	2886	10235
110	2906	10186
111	2928	10145
112	2951	10107
113	2977	10080
114	3002	10050
115	3026	10018
116	3051	9990
117	3076	9958
118	3101	9928
119	3131	9915
120	3160	9899
121	3183	9862
122	3208	9833
123	3234	9806
124	3242	9727
125	3263	9687
126	3286	9653
127	3309	9616
128	3333	9587
129	3357	9554
130	3381	9526
131	3409	9504
132	3433	9475
133	3459	9448
134	3485	9425
135	3512	9401
136	3537	9374
137	3562	9344
138	3586	9313
139	3610	9285
140	3634	9252
141	3656	9218
142	3682	9192
143	3706	9164
144	3731	9134
145	3757	9111
146	3784	9088
147	3809	9060
148	3834	9033
149	3860	9007
150	3886	8983
151	3910	8953
152	3930	8915
153	3956	8889
154	3984	8868
155	4014	8852
156	4043	8834
157	4071	8812
158	4098	8789
159	4127	8770
160	4154	8747
161	4180	8722
162	4205	8694
163	4229	8666
164	4258	8645
165	4278	8609
166	4308	8590
167	4358	8612
168	4389	8596
169	4419	8578
170	4449	8561
171	4476	8537
172	4502	8510
173	4527	8482
174	4554	8458
175	4580	8432
176	4609	8412
177	4637	8389
178	4664	8365
179	4693	8344
180	4722	8322
181	4750	8301
182	4777	8275
183	4807	8255
184	4835	8233
185	4862	8208
186	4890	8184
187	4918	8162
188	4945	8138
189	4975	8118
190	5003	8094
191	5028	8066
192	5054	8040
193	5078	8011
194	5104	7984
195	5127	7953
196	5151	7923
197	5174	7892
198	5202	7869
199	5228	7842
200	5255	7818
201	5285	7797
202	5313	7774
203	5344	7754
204	5369	7727
205	5394	7698
206	5423	7676
207	5453	7656
208	5483	7635
209	5514	7615
210	5542	7590
211	5566	7561
212	5589	7531
213	5612	7500
214	5635	7470
215	5657	7438
216	5679	7406
217	5702	7376
218	5727	7349
219	5753	7322
220	5778	7295
221	5804	7268
222	5830	7242
223	5855	7214
224	5881	7188
225	5908	7163
226	5936	7139
227	5970	7122
228	6007	7109
229	6035	7085
230	6062	7059
231	6084	7028
232	6103	6994
233	6123	6960
234	6143	6927
235	6163	6894
236	6183	6862
237	6210	6836
238	6232	6806
239	6259	6780
240	6288	6758
241	6318	6736
242	6341	6707
243	6364	6677
244	6389	6649
245	6416	6625
246	6440	6597
247	6465	6570
248	6492	6545
249	6526	6526
250	6549	6497
251	6572	6468
252	6594	6438
253	6615	6407
254	6636	6376
255	6657	6345
256	6680	6317
257	6708	6292
258	6731	6263
259	6755	6236
260	6778	6206
261	6799	6176
262	6823	6149
263	6845	6119
264	6873	6095
265	6899	6069
266	6929	6047
267	6961	6026
268	6992	6004
269	7024	5983
270	7053	5960
271	7081	5936
272	7111	5913
273	7142	5891
274	7170	5866
275	7197	5841
276	7233	5823
277	7266	5802
278	7291	5775
279	7321	5752
280	7353	5730
281	7380	5705
282	7405	5678
283	7436	5655
284	7464	5631
285	7494	5607
286	7520	5581
287	7547	5556
288	7587	5539
289	7607	5509
290	7625	5476
291	7645	5446
292	7668	5417
293	7697	5393
294	7726	5369
295	7751	5342
296	7776	5314
297	7812	5295
298	7845	5274
299	7875	5250
300	7902	5224
301	7929	5199
302	7962	5177
303	7991	5152
304	8016	5125
305	8043	5099
306	8072	5074
307	8101	5050
308	8130	5025
309	8158	5000
310	8184	4973
311	8207	4945
312	8232	4918
313	8266	4896
314	8298	4873
315	8324	4847
316	8351	4821
317	8375	4793
318	8402	4767
319	8430	4742
320	8458	4716
321	8485	4690
322	8508	4662
323	8534	4635
324	8563	4611
325	8591	4585
326	8621	4561
327	8648	4534
328	8676	4509
329	8705	4484
330	8733	4459
331	8758	4431
332	8784	4405
333	8808	4378
334	8830	4349
335	8852	4320
336	8884	4297
337	8910	4270
338	8937	4244
339	8963	4218
340	8995	4194
341	9022	4168
342	9045	4140
343	9072	4114
344	9099	4088
345	9121	4059
346	9142	4031
347	9164	4002
348	9188	3975
349	9222	3952
350	9248	3925
351	9273	3899
352	9298	3872
353	9322	3845
354	9348	3818
355	9374	3791
356	9395	3763
357	9417	3735
358	9440	3707
359	9463	3680
360	9487	3652
361	9510	3625
362	9535	3598
363	9567	3574
364	9597	3549
365	9626	3524
366	9658	3500
367	9688	3475
368	9711	3447
369	9735	3420
370	9760	3393
371	9784	3366
372	9808	3339
373	9830	3312
374	9856	3285
375	9886	3260
376	9913	3234
377	9939	3207
378	9963	3180
379	9992	3155
380	10021	3129
381	10048	3103
382	10073	3077
383	10093	3049
384	10115	3021
385	10133	2992
386	10158	2966
387	10185	2940
