iter	RMSE
0	6220234.846
1	6202369.696
2	6144266.317
3	6074624.39
4	6006973.967
5	5990717.765
6	5981342.778
7	5973870.874
8	5965789.187
9	5934727.848
10	5907978.608
11	5843002.706
12	5780759.783
13	5765775.604
14	5758740.036
15	5696970.186
16	5692208.307
17	5685236.714
18	5669040.945
19	5621619.874
20	5609404.12
21	5605317.907
22	5547234.529
23	5543802.197
24	5535590.761
25	5530013.333
26	5473198.242
27	5428804.863
28	5425077.115
29	5422683.452
30	5412465.109
31	5410867.571
32	5408244.074
33	5397640.863
34	5394670.163
35	5340514.344
36	5337642.156
37	5324400.294
38	5320221.107
39	5316011.872
40	5309150.529
41	5306028.432
42	5305701.409
43	5303307.488
44	5297292.977
45	5292410.362
46	5291138.928
47	5283721.173
48	5230290.814
49	5221688.999
50	5170042.906
51	5167822.933
52	5166030.423
53	5164208.241
54	5162422.474
55	5122661.475
56	5121797.817
57	5103069.04
58	5096153.361
59	5093413.213
60	5092675.642
61	5053512.261
62	5053093.555
63	5052558.964
64	5050985.612
65	5050607.925
66	5017807.47
67	5017428.183
68	5016126.677
69	5014314.976
70	5013961.087
71	4984592.108
72	4983543.362
73	4982032.412
74	4952195.503
75	4951886.611
76	4950326.564
77	4950163.686
78	4943506.284
79	4895493.42
80	4895249.191
81	4867319.071
82	4866832.378
83	4858104.456
84	4857169.496
85	4855459.817
86	4854430.75
87	4849473.315
88	4849147.792
89	4848150.516
90	4846941.881
91	4811554.498
92	4811274.609
93	4765087.35
94	4757796.91
95	4757358.111
96	4756686.703
97	4756350.261
98	4739568.233
99	4739365.648
100	4739122.005
101	4738864.142
102	4736745.797
103	4735452.802
104	4727503.948
105	4708478.061
106	4675643.605
107	4670491.287
108	4666150.525
109	4665412.069
110	4664792.27
111	4646249.707
112	4645467.799
113	4645187.862
114	4644499.677
115	4643769.315
116	4643557.1
117	4627796.122
118	4627569.017
119	4583446.181
120	4579490.792
121	4574948.035
122	4574209.551
123	4574081.402
124	4530788.824
125	4529657.949
126	4529431.496
127	4487358.162
128	4482376.281
129	4482170.174
130	4479310.947
131	4478028.843
132	4477639.424
133	4477448.911
134	4476784.94
135	4473156.474
136	4471993.057
137	4471176.002
138	4470849.221
139	4467026.151
140	4466667.65
141	4425195.875
142	4417991.21
143	4417575.175
