iter	Passed	Remaining
0	147	73435
1	171	42683
2	195	32308
3	220	27333
4	243	24066
5	264	21794
6	287	20218
7	308	18977
8	328	17946
9	350	17168
10	371	16510
11	392	15943
12	412	15467
13	433	15034
14	456	14745
15	478	14484
16	501	14254
17	524	14046
18	545	13805
19	567	13617
20	589	13453
21	616	13402
22	639	13254
23	659	13073
24	682	12961
25	706	12877
26	726	12726
27	747	12600
28	769	12502
29	791	12400
30	813	12302
31	833	12194
32	853	12082
33	873	11973
34	894	11885
35	916	11811
36	938	11741
37	961	11689
38	984	11631
39	1007	11588
40	1032	11564
41	1056	11524
42	1075	11427
43	1098	11379
44	1120	11332
45	1143	11281
46	1164	11223
47	1186	11172
48	1210	11138
49	1232	11088
50	1255	11053
51	1277	11007
52	1299	10958
53	1322	10925
54	1347	10904
55	1371	10872
56	1393	10826
57	1417	10800
58	1440	10769
59	1463	10734
60	1487	10705
61	1509	10664
62	1533	10634
63	1558	10619
64	1582	10593
65	1597	10504
66	1620	10471
67	1644	10444
68	1668	10422
69	1690	10383
70	1708	10320
71	1754	10431
72	1779	10411
73	1803	10381
74	1825	10341
75	1848	10314
76	1872	10284
77	1894	10250
78	1920	10231
79	1946	10218
80	1974	10214
81	1997	10183
82	2024	10169
83	2050	10156
84	2074	10127
85	2097	10098
86	2121	10070
87	2145	10043
88	2168	10014
89	2193	9994
90	2219	9975
91	2243	9951
92	2261	9895
93	2286	9876
94	2312	9857
95	2336	9831
96	2360	9806
97	2381	9770
98	2403	9736
99	2423	9695
100	2441	9643
101	2456	9583
102	2479	9555
103	2501	9525
104	2521	9487
105	2544	9458
106	2566	9427
107	2587	9393
108	2611	9368
109	2635	9342
110	2662	9331
111	2690	9320
112	2716	9303
113	2749	9310
114	2775	9292
115	2802	9278
116	2816	9220
117	2843	9204
118	2870	9191
119	2896	9171
120	2918	9140
121	2946	9128
122	2985	9151
123	3006	9116
124	3032	9096
125	3063	9093
126	3091	9078
127	3118	9061
128	3156	9077
129	3181	9056
130	3206	9031
131	3231	9009
132	3255	8982
133	3267	8925
134	3293	8903
135	3315	8873
136	3337	8842
137	3361	8816
138	3381	8781
139	3401	8745
140	3420	8707
141	3441	8677
142	3463	8647
143	3484	8614
144	3506	8583
145	3528	8555
146	3542	8507
147	3564	8477
148	3584	8444
149	3607	8417
150	3628	8387
151	3653	8364
152	3677	8339
153	3706	8326
154	3735	8314
155	3762	8297
156	3789	8277
157	3827	8284
158	3852	8261
159	3878	8242
160	3900	8213
161	3925	8190
162	3953	8173
163	3974	8143
164	3999	8120
165	4020	8089
166	4041	8058
167	4061	8027
168	4085	8002
169	4106	7971
170	4127	7941
171	4147	7908
172	4167	7878
173	4188	7847
174	4210	7820
175	4232	7792
176	4247	7751
177	4268	7721
178	4291	7695
179	4326	7690
180	4352	7671
181	4381	7655
182	4407	7634
183	4433	7614
184	4452	7581
185	4480	7564
186	4507	7544
187	4534	7524
188	4557	7499
189	4581	7474
190	4605	7450
191	4628	7424
192	4668	7426
193	4695	7405
194	4710	7367
195	4735	7344
196	4758	7319
197	4784	7296
198	4796	7255
199	4813	7220
200	4839	7198
201	4872	7188
202	4896	7163
203	4920	7139
204	4946	7118
205	4970	7093
206	4989	7062
207	5015	7041
208	5056	7040
209	5078	7012
210	5100	6986
211	5121	6957
212	5146	6934
213	5168	6907
214	5187	6876
215	5200	6837
216	5216	6803
217	5236	6773
218	5258	6746
219	5277	6716
220	5298	6689
221	5336	6683
222	5360	6658
223	5376	6624
224	5401	6601
225	5428	6581
226	5453	6558
227	5478	6535
228	5502	6511
229	5527	6488
230	5554	6467
231	5581	6447
232	5605	6423
233	5629	6399
234	5667	6390
235	5690	6366
236	5713	6340
237	5735	6313
238	5766	6297
239	5790	6272
240	5812	6246
241	5837	6223
242	5858	6196
243	5885	6174
244	5902	6143
245	5926	6119
246	5948	6093
247	5969	6065
248	5991	6040
249	6011	6011
250	6031	5983
251	6053	5957
252	6077	5933
253	6098	5906
254	6121	5881
255	6142	5854
256	6163	5827
257	6181	5797
258	6203	5772
259	6225	5746
260	6245	5719
261	6268	5694
262	6290	5668
263	6310	5641
264	6330	5614
265	6351	5587
266	6375	5563
267	6398	5539
268	6420	5513
269	6439	5485
270	6459	5458
271	6482	5433
272	6506	5410
273	6527	5383
274	6548	5357
275	6572	5334
276	6595	5309
277	6615	5283
278	6635	5256
279	6655	5229
280	6681	5207
281	6703	5182
282	6723	5155
283	6741	5127
284	6762	5101
285	6783	5076
286	6805	5050
287	6827	5025
288	6849	5001
289	6873	4977
290	6895	4952
291	6918	4928
292	6940	4903
293	6960	4877
294	6993	4860
295	7015	4834
296	7037	4809
297	7058	4784
298	7077	4757
299	7095	4730
300	7116	4705
301	7136	4678
302	7156	4652
303	7174	4625
304	7195	4600
305	7215	4574
306	7237	4550
307	7260	4525
308	7281	4500
309	7301	4475
310	7323	4450
311	7347	4427
312	7369	4402
313	7392	4379
