iter	RMSE
0	0.8837555197
1	0.8665914924
2	0.8515682836
3	0.8378773452
4	0.8228418194
5	0.8089515985
6	0.7956718286
7	0.7830173289
8	0.7708559373
9	0.7599814863
10	0.749872781
11	0.740399888
12	0.731190812
13	0.7228669774
14	0.7151109397
15	0.7083248692
16	0.7023257844
17	0.6961747152
18	0.6903208498
19	0.6845095443
20	0.6792430339
21	0.6740702927
22	0.669291977
23	0.664713432
24	0.6605241155
25	0.6563904854
26	0.6524737507
27	0.6492683329
28	0.645747552
29	0.6428650311
30	0.6395987677
31	0.6365646101
32	0.6339096879
33	0.6311291359
34	0.6288004227
35	0.6265562118
36	0.6243253786
37	0.6221735261
38	0.6204358595
39	0.6186135678
40	0.6165202536
41	0.6149406938
42	0.6131040247
43	0.6115628535
44	0.6101668941
45	0.6088580279
46	0.6073065841
47	0.60604362
48	0.6048164563
49	0.6031903626
50	0.6024861024
51	0.6014283486
52	0.6000228772
53	0.5985876646
54	0.5977769125
55	0.5966845152
56	0.5956232351
57	0.5944648182
58	0.5936145453
59	0.5926366407
60	0.5915721171
61	0.5903853609
62	0.5894473818
63	0.5885887603
64	0.5875903129
65	0.5867158974
66	0.5859076
67	0.5849925787
68	0.5841519054
69	0.583180518
70	0.5823754868
71	0.5818614515
72	0.5810738906
73	0.5803460639
74	0.5795537766
75	0.5788069089
76	0.5778880755
77	0.5770250329
78	0.5762953868
79	0.5754807346
80	0.574827949
81	0.5743172207
82	0.5735684616
83	0.5731151981
84	0.5725743764
85	0.5720080582
86	0.5716187177
87	0.5711141598
88	0.5705409236
89	0.5701558269
90	0.5696467195
91	0.5691763848
92	0.5688507281
93	0.5682986019
94	0.5679381741
95	0.5674531107
96	0.5669828019
97	0.5665457701
98	0.5660280279
99	0.5655975385
100	0.5652145773
101	0.5649364419
102	0.5644628063
103	0.5641905973
104	0.5640307487
105	0.5635287151
106	0.5632898046
107	0.5629166316
108	0.5626886383
109	0.5622413461
110	0.5616670602
111	0.5612706832
112	0.5608937451
113	0.5603396334
114	0.5598784522
115	0.5595408687
116	0.5592203701
117	0.5589609744
118	0.5587935189
119	0.5582997937
120	0.5579460727
121	0.5575548405
122	0.5572082012
123	0.5570376293
124	0.5567485347
125	0.5562286998
126	0.5558337361
127	0.555318704
128	0.5549636027
129	0.554692137
130	0.5542891032
131	0.5538991987
132	0.5533998247
133	0.5533069645
134	0.5530412769
135	0.5527182235
136	0.5525044454
137	0.552134344
138	0.5518917334
139	0.5517361972
140	0.5516040774
141	0.5514299942
142	0.5511232485
143	0.5508130629
144	0.5505742996
145	0.550293799
146	0.5499311982
147	0.5495627636
148	0.549241525
149	0.548945247
150	0.5487242628
151	0.5483482942
152	0.5478282191
153	0.5475635745
154	0.5473657231
155	0.5473473409
156	0.5471128138
157	0.5469664343
158	0.5467620049
159	0.5465299589
160	0.5463402424
161	0.5459414248
162	0.5456544315
163	0.5453662848
164	0.5451663915
165	0.5450796348
166	0.5448041105
167	0.5446621423
168	0.5444452894
169	0.5439969886
170	0.5437671142
171	0.543622659
172	0.5434635684
173	0.5432638522
174	0.5431183627
175	0.5429776417
176	0.5424529857
177	0.5423526538
178	0.5421880813
179	0.5420490599
180	0.541906096
181	0.5418715982
182	0.5417301985
183	0.5414832291
184	0.5413700349
185	0.5409773497
186	0.5407005789
187	0.5406103416
188	0.5404591051
189	0.5401476874
190	0.5397605799
191	0.539461342
192	0.539263987
193	0.5390714428
194	0.5386571063
195	0.5384001418
196	0.5379888456
197	0.5377115976
198	0.5375477628
199	0.5374439451
200	0.5371555787
201	0.5367926725
202	0.5365480023
203	0.5364145551
204	0.5362421922
205	0.5357210596
206	0.5353774386
207	0.5351257452
208	0.5348937543
209	0.5346502876
210	0.5341410596
211	0.5339781282
212	0.5336309131
213	0.5334426598
214	0.5332664931
215	0.5330090783
216	0.5327346059
217	0.5325230654
218	0.5323522446
219	0.532011546
220	0.5320056927
221	0.5317846043
222	0.5315492833
223	0.5312885141
224	0.5310508522
225	0.5309301386
226	0.5306312144
227	0.5304776775
228	0.5302040373
229	0.5299234768
230	0.5298095144
231	0.5295737034
232	0.5294329378
233	0.5291803477
234	0.5290867859
235	0.5288434938
236	0.5287089058
237	0.5283524697
238	0.5280410102
239	0.5278950133
240	0.527696835
241	0.5275551037
242	0.5271543431
243	0.5268246473
244	0.5265260227
245	0.5263002453
246	0.5261331326
247	0.5257858176
248	0.5257760315
249	0.5254668442
250	0.5249988095
251	0.5247659633
252	0.5242876669
253	0.5239738769
254	0.5238812143
255	0.5236953196
256	0.5234551472
257	0.523308086
258	0.5231370239
259	0.523066715
260	0.5228997771
261	0.5227433068
262	0.5223230691
263	0.5219122121
264	0.5217471669
265	0.5216206795
266	0.5214877884
267	0.5212376482
268	0.5209865224
269	0.5206462653
270	0.5203340858
271	0.5200120093
272	0.519877687
273	0.5195575695
274	0.5194553414
275	0.5193635198
276	0.5190538507
277	0.5188057166
278	0.5186714783
279	0.5183854601
280	0.5183163334
281	0.5181940231
282	0.5180589737
283	0.517771499
284	0.5175598731
285	0.5174505479
286	0.5171022162
287	0.5167985436
288	0.5166466154
289	0.5165593106
290	0.5163761321
291	0.516268982
292	0.5160194333
293	0.5159282393
294	0.5156121532
295	0.515483166
296	0.5153597724
297	0.5152566244
298	0.5150422238
299	0.5148174888
300	0.5147493089
301	0.5146064735
302	0.5142346661
303	0.5140240262
304	0.5139026987
305	0.5137852991
306	0.5136213084
307	0.5134620276
308	0.5132068245
309	0.5131143377
310	0.5130140052
311	0.5129254296
312	0.5128126355
313	0.512704739
314	0.5125652345
315	0.5123651763
316	0.5123193844
317	0.5121606791
318	0.5119808474
319	0.5118811027
320	0.5117292417
321	0.5114448823
322	0.5111904477
323	0.5110614838
324	0.5109563403
325	0.5108619554
326	0.5107014828
327	0.5105113631
328	0.5103343758
329	0.5100855383
330	0.5099618973
331	0.5098811133
332	0.5098151219
333	0.5097216582
334	0.5094396276
335	0.5093838518
336	0.5093068392
337	0.5090307838
338	0.5088022279
339	0.5086225177
340	0.5085742644
341	0.5085316434
342	0.5084649068
343	0.5081662484
344	0.5080590967
345	0.5080002089
346	0.5077982982
347	0.5077054662
348	0.5076418134
349	0.5075370446
350	0.5074475863
351	0.507345341
352	0.507243327
353	0.5071645421
354	0.5069289283
355	0.5067824475
356	0.5065551232
357	0.5065015192
358	0.506314004
359	0.506021251
360	0.5058039838
361	0.5054975633
362	0.5054238328
363	0.5052955435
364	0.5051159491
365	0.5050022896
366	0.5049426335
367	0.5047635313
368	0.5045648453
369	0.5045049791
370	0.5044159091
371	0.5043182283
372	0.5040938909
373	0.5040171863
374	0.5039191921
375	0.5036855283
376	0.5034887825
377	0.5032836193
378	0.5032089738
379	0.503111484
380	0.5029120849
381	0.5028147575
382	0.5026188025
383	0.5025037022
384	0.5024269961
385	0.5022156417
386	0.5018854388
387	0.501680747
388	0.5015166179
389	0.5012368446
390	0.5010495817
391	0.5008613938
392	0.5007174124
393	0.5006658708
394	0.5005154748
395	0.5001989753
396	0.5000159469
397	0.4998826777
398	0.4997615006
399	0.4995456534
400	0.4993614623
401	0.4992018525
402	0.4989199416
403	0.4988172512
404	0.4986707521
405	0.4985912077
406	0.4984042158
407	0.4982369328
408	0.4981011336
409	0.4979812441
410	0.4977540134
411	0.4976525146
412	0.4976221473
413	0.4975496184
414	0.4973882278
415	0.4972599529
416	0.4970618162
417	0.4969366555
418	0.4967458242
419	0.4965315297
420	0.496335627
421	0.4962808779
422	0.4961791574
423	0.4960656399
424	0.4958773894
425	0.4957891965
426	0.495725858
427	0.4955034353
428	0.4954531906
429	0.4952527279
430	0.4950828111
431	0.4950208815
432	0.4949855633
433	0.4949529455
434	0.4947078001
435	0.4945004211
436	0.4942764842
437	0.4942062996
438	0.4941059708
439	0.4939299564
440	0.4938824453
441	0.4937858025
442	0.4934952662
443	0.4934353381
444	0.4931702999
445	0.4931136001
446	0.4928745063
447	0.4928038128
448	0.4926463465
449	0.4923529667
450	0.4921570688
451	0.4920925647
452	0.4919567641
453	0.4919099617
454	0.4917251852
455	0.4915997159
456	0.4914853001
457	0.4913606428
458	0.4911236121
459	0.4910884005
460	0.491022848
461	0.4909899669
462	0.4907544791
463	0.490602382
464	0.4904531572
465	0.4902651432
466	0.4901800533
467	0.4900382056
468	0.4898858159
469	0.4897656076
470	0.4897146006
471	0.4895265919
472	0.4893826742
473	0.4893306404
474	0.489161838
475	0.4891102041
476	0.4889714735
477	0.4888523956
478	0.4888159351
479	0.4887533766
480	0.4887088834
481	0.4884587842
482	0.4883859361
483	0.4881993461
484	0.4879275156
485	0.4877012996
486	0.4875984175
487	0.4874281731
488	0.4874111304
489	0.4872397383
490	0.4870420574
491	0.4868959162
492	0.4867617251
493	0.4865681672
494	0.4864065154
495	0.4863627552
496	0.4861875381
497	0.4860415858
498	0.4859357594
499	0.4858449939
