iter	Passed	Remaining
0	176	87973
1	207	51676
2	233	38730
3	258	32022
4	284	28161
5	314	25886
6	343	24169
7	369	22725
8	395	21569
9	420	20620
10	448	19927
11	476	19373
12	504	18890
13	531	18435
14	558	18051
15	585	17709
16	610	17346
17	640	17147
18	670	16964
19	696	16717
20	723	16513
21	753	16380
22	784	16273
23	814	16151
24	845	16072
25	876	15987
26	908	15922
27	939	15836
28	966	15692
29	998	15649
30	1038	15705
31	1067	15619
32	1096	15522
33	1128	15465
34	1163	15454
35	1195	15407
36	1226	15344
37	1257	15289
38	1286	15203
39	1315	15129
40	1345	15067
41	1375	14997
42	1404	14930
43	1433	14858
44	1463	14795
45	1493	14738
46	1521	14668
47	1553	14625
48	1584	14586
49	1614	14534
50	1639	14438
51	1670	14389
52	1699	14331
53	1727	14267
54	1757	14216
55	1786	14163
56	1815	14110
57	1843	14049
58	1871	13985
59	1897	13916
60	1925	13860
61	1952	13790
62	1980	13737
63	2007	13674
64	2037	13636
65	2066	13590
66	2094	13536
67	2118	13460
68	2143	13391
69	2167	13312
70	2191	13240
71	2217	13182
72	2244	13126
73	2267	13056
74	2294	13001
75	2320	12944
76	2345	12882
77	2368	12816
78	2394	12760
79	2419	12701
80	2445	12647
81	2473	12608
82	2499	12559
83	2523	12499
84	2549	12447
85	2574	12392
86	2600	12346
87	2626	12298
88	2652	12248
89	2677	12195
90	2702	12145
91	2727	12096
92	2752	12045
93	2777	11996
94	2801	11945
95	2826	11895
96	2850	11841
97	2877	11801
98	2902	11758
99	2927	11709
100	2952	11665
101	2977	11619
102	3002	11571
103	3026	11525
104	3052	11482
105	3077	11437
106	3102	11394
107	3127	11352
108	3154	11314
109	3179	11273
110	3207	11239
111	3237	11216
112	3267	11191
113	3294	11153
114	3321	11120
115	3347	11079
116	3371	11037
117	3396	10994
118	3423	10961
119	3453	10936
120	3479	10897
121	3507	10867
122	3533	10831
123	3560	10795
124	3585	10756
125	3613	10725
126	3640	10692
127	3668	10661
128	3694	10625
129	3718	10583
130	3747	10555
131	3772	10517
132	3797	10478
