iter	RMSE
0	6567169.799
1	6561025.774
2	6509403.121
3	6458403.809
4	6444149.928
5	6371903.981
6	6340793.081
7	6269792.265
8	6257426.847
9	6219871.845
10	6211893.94
11	6206339.113
12	6185357.587
13	6133012.944
14	6112742.069
15	6079488.093
16	6074737.278
17	6024288.255
18	6017159.417
19	6014447.778
20	5950468.096
21	5942303.518
22	5881160.651
23	5877768.172
24	5875038.575
25	5858648.234
26	5817513.258
27	5757460.803
28	5755224.957
29	5723945.286
30	5706216.1
31	5700755.786
32	5685601.041
33	5682009.262
34	5679179.006
35	5676972.18
36	5631043.752
37	5594865.343
38	5593345.497
39	5536410.972
40	5517218.722
41	5513567.69
42	5509019.968
43	5502026.891
44	5491150.183
45	5477634.458
46	5475928.163
47	5473302.203
48	5434533.538
49	5432056.616
50	5389025.215
51	5387887.074
52	5387259.352
53	5386766.465
54	5375238.146
55	5372712.753
56	5368908.184
57	5355280.976
58	5354192.812
59	5350644.433
60	5336093.105
61	5335746.913
62	5334005.008
63	5332276.646
64	5332001.477
65	5331605.805
66	5330307.73
67	5328511.576
68	5319424.074
69	5318535.267
70	5318029.996
71	5317143.926
72	5307385.648
73	5290649.554
74	5289942.845
75	5289157.376
76	5288512.124
77	5287912.756
78	5286514.272
79	5286270.475
80	5285654.39
81	5278102.237
82	5271436.921
83	5269760.131
84	5269534.23
85	5252138.586
86	5250465.434
87	5239510.178
88	5211091.715
89	5208634.272
90	5201915.425
91	5200623.798
92	5199443.959
93	5199156.181
94	5147603.005
95	5091686.766
96	5069643.675
97	5049158.199
98	5041089.572
99	5040644.406
100	5039297.998
101	5039057.793
102	5037487.001
103	5037107.713
104	5036805.637
105	5036502.39
106	5035511.003
107	5034315.951
108	5033797.81
109	5032962.312
110	5032672.124
111	5008472.257
112	5007473.193
113	5006981.634
114	4990344.311
115	4986315.637
116	4937072.829
117	4925623.216
118	4923282.228
119	4909708.603
120	4908333.786
121	4908078.477
122	4907906.241
123	4907631.063
124	4907484.358
125	4907229.531
126	4905752.723
127	4905616.993
128	4905236.308
129	4857664.781
130	4850632.696
131	4834308.89
132	4787676.208
133	4786924.019
134	4753198.241
135	4752573.303
136	4752299.928
137	4751928.663
138	4749483.825
139	4749114.75
140	4748591.015
141	4743022.279
142	4742710.348
143	4729147.681
144	4728570.63
145	4728378.019
146	4727282.244
147	4725875.951
148	4725709.548
149	4724598.506
150	4724057.055
151	4723917.412
152	4706199.227
153	4705010.364
154	4704035.311
155	4703835.746
156	4703747.488
157	4658392.789
158	4645656.809
159	4640993.637
160	4640415.338
161	4638703.454
162	4626144.334
163	4625840.318
164	4625061.896
165	4624491.744
166	4613701.593
167	4613111.653
168	4592895.375
169	4592763.233
170	4592689.207
171	4582677.17
172	4582258.269
173	4581549.037
174	4537884.972
175	4534642.176
176	4534443.65
177	4533279.699
178	4532429.261
179	4532254.959
180	4532190.262
181	4531468.89
182	4489176.022
183	4460870.439
184	4459822.303
185	4455863.024
186	4455704.208
187	4455546.777
188	4455393.211
189	4454183.7
190	4431354.678
191	4431298.231
192	4431244.575
193	4430076.97
194	4430025.63
195	4429018.516
196	4428777.735
197	4427605.171
198	4424902.183
199	4421949.704
200	4420368.314
