iter	Passed	Remaining
0	39	19730
1	55	13744
2	88	14712
3	120	14936
4	154	15294
5	193	15943
6	222	15672
7	255	15735
8	295	16097
9	329	16122
10	361	16069
11	388	15779
12	413	15502
13	443	15391
14	471	15240
15	498	15077
16	523	14873
17	550	14745
18	581	14721
19	608	14593
20	636	14523
21	668	14521
22	698	14478
23	733	14553
24	764	14526
25	801	14613
26	832	14587
27	864	14576
28	910	14793
29	959	15026
30	1002	15172
31	1047	15320
32	1083	15333
33	1119	15343
34	1151	15299
35	1187	15304
36	1227	15356
37	1257	15287
38	1287	15219
39	1320	15180
40	1350	15117
41	1385	15112
42	1421	15104
43	1456	15091
44	1489	15062
45	1532	15124
46	1577	15206
47	1619	15250
48	1660	15283
49	1703	15328
50	1744	15362
51	1783	15362
52	1817	15326
53	1852	15303
54	1886	15266
55	1923	15252
56	1969	15306
57	2014	15350
58	2047	15302
59	2089	15319
60	2126	15307
61	2152	15203
62	2186	15169
63	2225	15163
64	2246	15032
65	2277	14973
66	2311	14938
67	2342	14883
68	2370	14808
69	2398	14734
70	2433	14703
71	2468	14671
72	2495	14597
73	2528	14557
74	2557	14494
75	2593	14466
76	2626	14428
77	2659	14386
78	2693	14356
79	2716	14260
80	2748	14216
81	2781	14180
82	2811	14123
83	2842	14078
84	2876	14046
85	2910	14013
86	2944	13976
87	2986	13983
88	3020	13950
89	3049	13892
90	3080	13846
91	3110	13794
92	3149	13783
93	3182	13743
94	3214	13702
95	3251	13684
96	3288	13660
97	3323	13632
98	3355	13592
99	3394	13579
100	3441	13594
101	3483	13593
102	3529	13605
103	3562	13563
104	3585	13487
105	3614	13435
106	3653	13420
107	3694	13409
108	3726	13366
109	3756	13318
110	3792	13292
111	3828	13263
112	3857	13212
113	3883	13150
114	3908	13084
115	3933	13020
116	3954	12945
117	3979	12883
118	4002	12816
119	4026	12750
120	4051	12689
121	4064	12593
122	4088	12529
123	4102	12439
124	4119	12358
125	4143	12298
126	4190	12308
127	4215	12251
128	4254	12235
129	4291	12213
130	4334	12210
131	4373	12193
132	4416	12186
133	4464	12194
134	4504	12178
135	4543	12161
136	4577	12128
137	4609	12090
138	4646	12067
139	4675	12022
140	4703	11975
141	4738	11945
142	4771	11912
143	4806	11881
144	4837	11843
145	4871	11812
146	4907	11785
147	4942	11755
148	4959	11682
149	4992	11649
150	5060	11695
151	5087	11646
152	5123	11620
153	5163	11602
154	5201	11576
155	5221	11514
156	5241	11452
157	5287	11445
158	5340	11453
159	5378	11429
160	5427	11428
161	5475	11424
162	5512	11396
163	5568	11409
164	5614	11398
165	5649	11367
166	5681	11328
167	5714	11292
168	5749	11260
169	5789	11237
170	5809	11177
171	5854	11163
172	5898	11149
173	5941	11131
174	5975	11097
175	6005	11056
176	6042	11025
177	6078	10995
178	6118	10972
179	6149	10932
180	6171	10876
181	6220	10869
182	6271	10863
183	6309	10835
184	6340	10795
185	6372	10757
186	6401	10715
187	6417	10651
188	6434	10588
189	6468	10553
