,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,confirmation-instant
0,1,1,0,0,0,0,0,0,0,0,1,18.0,1,1,ngoai troi,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,dieu hoa ca nhan
1,2,0,1,0,0,0,0,0,0,0,1,30.0,1,1,nui,True,,,,,,,,,,,,,,,,,,,,,,True,,,,0,cua so
2,3,0,1,0,0,0,0,0,0,0,1,45.0,0,1,nui,True,,,,,,,,,,,,,,,,,,,True,,,True,,,,0,hanh lang ngoai
3,4,0,1,0,0,0,0,0,0,0,1,20.0,1,1,ngoai troi,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,dieu hoa ca nhan
4,5,1,0,1,0,0,0,0,0,0,2,35.0,1,1,thanh pho,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,0,cua so
5,6,1,0,0,0,0,0,0,0,0,1,50.0,1,1,thanh pho,True,True,,,True,,,True,,,,,,,,,,,,,,,,,,,0,cua so
6,7,1,0,0,0,0,0,0,0,0,1,54.0,1,1,thanh pho,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,0,cua so
7,8,1,0,0,0,0,0,0,0,0,1,60.0,1,1,thanh pho,True,True,,,True,,,True,,,,,,,,,,,,,,,,,,,0,cua so
8,9,1,0,0,0,0,0,0,0,0,1,63.0,1,1,thanh pho,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,0,cua so
9,10,1,0,1,0,0,0,0,0,0,2,71.0,2,1,thanh pho,True,True,,,True,,,True,,,,,,,,,,,,,,,,,,,0,cua so
10,11,0,1,0,0,0,0,0,0,0,1,21.0,0,1,khong co cua so,,True,True,True,True,,,,,,,,,,,,,True,,,,,,,,,0,
11,12,1,0,0,0,0,0,0,0,0,1,32.0,0,1,duong pho,,,True,True,True,True,,,,,True,True,,,,,,,,,,,,,,,0,
12,13,0,0,1,0,0,0,0,0,0,1,25.0,0,1,,,,True,True,True,True,,,True,,True,,,,,,,True,,True,,,,,,,0,
13,14,0,1,0,0,0,0,0,0,0,1,20.0,1,1,thanh pho,True,,True,,True,,,True,,,,,,,,,,,,,,,,,,,0,
14,15,0,0,1,0,0,0,0,0,0,1,20.0,0,1,thanh pho,,,True,,True,,,,,,,,,,,,,True,,,,,,,,,0,cua so
15,16,0,1,0,0,0,0,0,0,0,1,30.0,0,1,thanh pho,,,True,True,True,,,,,True,,,,,,,,True,,,,,,,,,0,cua so
16,17,0,0,1,0,0,0,0,0,0,1,40.0,0,1,thanh pho,,,,True,True,,,,,True,,,,,,,,True,,,,,,,,,0,cua so co the mo ra
17,18,0,0,0,0,0,0,0,0,0,1,45.0,0,1,thanh pho,,,,True,True,,,,,True,,,,,,,True,True,,,,,,,,,0,cua so
18,19,0,0,1,0,0,0,0,0,0,1,20.0,1,1,ngoai troi,,,True,True,,True,,True,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
19,20,1,0,0,0,0,0,0,0,0,1,30.0,1,1,ngoai troi,,,True,True,,True,,True,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
20,21,0,0,1,0,0,0,0,0,0,1,40.0,1,1,ngoai troi,,,True,True,,True,,True,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
21,22,0,1,0,0,0,0,0,0,0,1,45.0,1,1,ngoai troi,,,True,True,,True,,True,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
22,23,1,0,0,0,0,0,0,0,0,1,18.0,1,1,ngoai troi,,True,True,,,,,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
23,24,0,0,1,0,0,0,0,0,0,1,22.0,1,1,ngoai troi,,True,True,,,,,,,,,,,,,,,,,,,,,,,,0,cua so co the mo ra
24,25,0,0,1,1,0,0,0,0,0,1,45.0,1,1,ngoai troi,,,True,,,,True,,,,True,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
25,26,0,0,1,0,0,0,0,0,0,1,25.0,0,1,,,True,True,True,,True,,,True,,True,,,,,,,,,,,,,,,,0,cua so co the mo ra
26,27,0,0,0,0,1,0,0,0,0,1,12.0,1,1,thanh pho,,True,,,,,,,,,,,,,,,True,,,,,,,,,,0,ruou
27,28,1,0,0,0,0,0,0,0,0,1,18.0,0,1,thanh pho,,True,,,True,,,,,True,,,,,,,True,,,,,,,,,,0,hanh lang ngoai
28,29,0,0,0,0,1,0,0,0,0,1,18.0,1,1,thanh pho,,True,,,True,,,,,True,,,,,,,,,,,,,,,,,0,cua so
