room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count
1,1,0,0,0,0,0,0,0,0,1,18.0,1,1,nature,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,1,30.0,1,1,nature,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,1,0,0,0,0,0,0,0,1,45.0,0,1,nature,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,1,0,0,0,0,0,0,0,1,20.0,1,1,nature,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,1,0,0,0,0,0,0,2,35.0,1,1,city,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,1,50.0,1,1,city,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,1,54.0,1,1,city,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,1,60.0,1,1,city,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,1,63.0,1,1,city,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,1,0,0,0,0,0,0,2,71.0,2,1,city,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,1,21.0,0,1,no view,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,1,32.0,0,1,city,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0,0,0,1,25.0,0,1,no view,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,1,20.0,1,1,city,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,0,0,0,1,20.0,0,1,city,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,1,30.0,0,1,city,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,1,40.0,0,1,city,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,45.0,0,1,city,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
19,0,0,1,0,0,0,0,0,0,1,20.0,1,1,nature,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,1,30.0,1,1,nature,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,1,0,0,0,0,0,0,1,40.0,1,1,nature,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,1,0,0,0,0,0,0,0,1,45.0,1,1,nature,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,1,18.0,1,1,nature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,1,0,0,0,0,0,0,1,22.0,1,1,nature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,1,0,0,0,0,0,1,45.0,1,1,nature,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
