room_type_id,price_option_price,adults_number,children_number,bãi_đậu_xe,phòng_tập,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,vào_hồ_bơi_miễn_phí,đã_kèm_bữa_sáng
1,289522.0,2,0,1,0,1,0,1,0,0
2,361111.0,2,0,1,0,1,0,1,0,0
3,601852.0,4,2,1,0,1,0,1,0,0
4,425926.0,2,0,1,0,0,0,1,0,0
5,1450000.0,2,0,0,0,1,0,0,0,0
5,1810000.0,2,0,0,0,1,0,0,0,1
5,1630000.0,1,0,0,0,1,0,0,0,1
6,1650000.0,2,0,0,0,1,0,0,0,0
6,2010000.0,2,0,0,0,1,0,0,0,1
6,1830000.0,1,0,0,0,1,0,0,0,1
7,1800000.0,2,0,0,0,1,0,0,0,0
7,2160000.0,2,0,0,0,1,0,0,0,1
7,1980000.0,1,0,0,0,1,0,0,0,1
8,1950000.0,2,0,0,0,1,0,0,0,0
8,2310000.0,2,0,0,0,1,0,0,0,1
8,2130000.0,1,0,0,0,1,0,0,0,1
9,2050000.0,2,0,0,0,1,0,0,0,0
9,2410000.0,2,0,0,0,1,0,0,0,1
9,2230000.0,1,0,0,0,1,0,0,0,1
10,2250000.0,4,0,0,0,1,0,0,0,0
10,2610000.0,2,0,0,0,1,0,0,0,1
11,557535.0,2,0,1,0,1,0,1,0,1
12,840956.0,2,0,1,0,1,0,1,0,1
12,853616.0,2,0,1,0,1,0,1,0,1
13,929657.0,3,0,1,0,1,0,1,0,1
13,941797.0,3,0,1,0,1,0,1,0,1
14,434262.0,2,0,0,0,1,0,1,0,0
14,745946.0,2,0,0,0,1,0,1,0,0
15,494856.0,2,0,0,0,1,0,1,0,0
16,494856.0,2,0,0,0,1,0,1,0,0
17,581065.0,2,0,0,0,1,0,1,0,0
18,741882.0,2,0,0,0,1,0,1,0,0
19,794595.0,2,0,0,0,1,0,1,0,0
20,810811.0,2,0,0,0,1,0,1,0,0
21,891892.0,2,0,0,0,1,0,1,0,0
22,1135136.0,2,0,0,0,1,0,1,0,0
23,335629.0,2,0,1,0,1,0,1,0,0
23,388889.0,2,0,1,0,1,0,1,0,0
24,468343.0,2,0,1,0,1,0,1,0,0
25,703704.0,2,0,1,0,1,0,1,0,0
26,703829.0,2,0,1,0,1,0,1,0,0
27,261977.0,2,0,1,0,1,0,1,0,0
27,284832.0,2,0,1,0,1,0,0,0,0
27,335097.0,2,0,1,0,1,0,1,0,0
28,277193.0,2,0,1,0,1,0,1,0,0
28,286631.0,2,0,1,0,1,0,0,0,0
28,337213.0,2,0,1,0,1,0,1,0,0
29,284151.0,2,0,1,0,1,0,1,0,0
29,293827.0,2,0,1,0,1,0,0,0,0
29,345679.0,2,0,1,0,1,0,1,0,0
30,376653.0,4,0,1,0,1,0,1,0,0
30,382575.0,4,0,1,0,1,0,0,0,0
30,450088.0,4,0,1,0,1,0,1,0,0
31,392593.0,4,0,1,0,1,0,1,0,0
31,398765.0,4,0,1,0,1,0,0,0,0
31,469136.0,4,0,1,0,1,0,1,0,0
32,1769306.0,2,0,1,1,1,1,0,0,1
33,1769306.0,2,0,1,1,1,1,0,0,1
34,1847428.0,2,0,1,1,1,1,0,0,0
34,2033053.0,2,0,1,1,1,1,0,0,1
34,2082836.0,2,0,1,1,1,0,1,0,0
34,2160996.0,2,0,1,1,1,0,1,0,1
35,1847428.0,2,0,1,1,1,1,0,0,0
35,2033053.0,2,0,1,1,1,1,0,0,1
35,2082836.0,2,0,1,1,1,0,1,0,0
35,2544080.0,2,0,1,1,1,0,1,0,1
36,1935617.0,2,0,1,1,1,0,0,0,0
36,1955315.0,2,0,1,1,1,0,1,0,0
36,2369977.0,2,0,1,1,1,1,0,0,1
36,2416572.0,2,0,1,1,1,0,1,0,1
37,2363688.0,2,0,1,1,1,1,0,0,1
37,2501832.0,2,0,1,1,1,0,1,0,0
37,2512786.0,2,0,1,1,1,0,1,0,1
37,3307556.0,2,1,1,1,1,0,1,0,1
38,2378491.0,2,0,1,1,1,0,1,0,0
38,2905556.0,2,0,1,1,1,0,1,0,1
39,2378491.0,2,0,1,1,1,0,1,0,0
39,2905556.0,2,0,1,1,1,0,1,0,1
40,2652114.0,2,0,1,1,1,1,0,0,1
40,2819932.0,2,0,1,1,1,0,1,0,1
40,2847959.0,2,0,1,1,1,0,1,0,0
40,3693889.0,2,1,1,1,1,0,1,0,1
41,2857294.0,2,0,1,1,1,0,1,0,0
41,3383868.0,2,0,1,1,1,0,1,0,1
42,1275045.0,2,0,1,0,1,1,0,0,1
43,1774567.0,2,0,1,0,1,1,0,0,1
43,2175926.0,2,0,1,0,1,0,0,0,1
44,1925594.0,2,0,1,0,1,1,0,0,1
44,1756679.0,1,0,1,0,1,1,0,0,1
45,2831756.0,2,0,1,0,1,1,0,0,1
45,3472222.0,2,0,1,0,1,0,0,0,1
45,2693574.0,1,0,1,0,1,1,0,0,1
45,3194444.0,1,0,1,0,1,0,0,0,1
46,1134248.0,2,0,1,1,1,1,0,0,0
47,1349678.0,2,0,1,1,1,1,0,0,0
47,1457200.0,2,1,1,1,1,0,1,1,0
47,1611111.0,2,0,1,1,1,0,1,0,0
48,1860332.0,2,0,1,1,1,1,0,0,0
48,1935994.0,2,0,1,1,1,0,1,1,0
49,1860332.0,2,0,1,1,1,1,0,0,0
49,1935994.0,2,1,1,1,1,0,1,1,0
49,2140476.0,2,0,1,1,1,0,1,0,0
50,2140476.0,2,0,1,1,1,0,1,0,0
51,3538914.0,2,1,1,1,1,0,1,1,0
51,3578773.0,2,0,1,1,1,1,0,0,0
52,737091.0,2,0,1,1,1,0,1,1,0
52,887778.0,2,1,1,1,1,0,1,0,0
53,928678.0,4,0,1,1,1,0,1,1,0
53,963000.0,2,0,1,1,1,0,1,0,0
53,1123889.0,4,1,1,1,1,0,1,0,0
54,1035856.0,4,0,1,1,1,0,1,1,0
55,806501.0,2,2,1,0,1,0,0,1,1
55,902116.0,2,2,1,0,1,0,0,1,1
55,972679.0,2,0,1,0,1,0,1,0,1
56,965756.0,2,2,1,0,1,0,0,1,1
56,969273.0,2,0,1,0,1,0,0,0,1
56,972679.0,2,0,1,0,1,0,1,0,1
56,1011464.0,2,2,1,0,1,0,0,1,1
57,997665.0,2,0,1,0,1,1,0,0,1
57,886492.0,1,1,1,0,1,0,0,1,1
57,902116.0,1,1,1,0,1,0,0,1,1
57,1527778.0,1,0,1,0,1,0,0,0,1
58,1017959.0,2,2,1,0,1,0,0,1,1
58,1020700.0,2,0,1,0,1,0,0,0,1
58,1024348.0,2,0,1,0,1,0,1,0,1
58,1066138.0,2,2,1,0,1,0,0,1,1
59,1037909.0,2,0,1,0,1,1,0,0,1
59,1805556.0,2,0,1,0,1,0,0,0,1
60,1102971.0,2,0,1,0,1,1,0,0,1
60,1048983.0,1,1,1,0,1,0,0,1,1
60,1066138.0,1,1,1,0,1,0,0,1,1
60,1805556.0,1,0,1,0,1,0,0,0,1
61,1258279.0,2,2,1,0,1,0,0,1,1
61,1312169.0,2,2,1,0,1,0,0,1,1
62,1276207.0,2,0,1,0,1,0,0,0,1
62,1280615.0,2,0,1,0,1,0,1,0,1
62,1291319.0,1,1,1,0,1,0,0,1,1
62,1312169.0,1,1,1,0,1,0,0,1,1
63,1527778.0,2,0,1,0,1,0,0,0,1
64,1680870.0,2,0,1,0,1,1,0,0,1
64,1895176.0,2,0,1,0,1,0,1,0,1
