room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,views,bathroom_count,balcony-terrace,closet,air_conditioning,mini_bar,bathtub,shower,refrigerator,private-pool,jacuzzi-bathtub,bedroom_count,price_option_price,adults_number,children_number,có_bữa_sáng,bãi_đậu_xe,phòng_tập,vào_hồ_bơi_miễn_phí,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,đã_kèm_bữa_sáng,hotel_id,room_room_type_name,hotel_name,region
1,1,0,0,0,0,0,0,0,0,0,1,18.0,ngoai troi,1,True,,,,,,,,,0,289522.0,2,0,100000,1,0,0,1,0,1,0,71897952,Phòng Deluxe Có Giường Cỡ King (Deluxe King Room),Nha Nghi Nhung - Nhung Motel,Bà Rịa
2,0,1,0,0,0,0,0,0,0,0,1,30.0,nui,1,True,,,,,,,,,0,361111.0,2,0,100000,1,0,0,1,0,1,0,49685029,Phòng Tiêu Chuẩn (Standard Room),Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),Bà Rịa
3,0,1,0,0,0,0,0,0,0,0,1,45.0,nui,0,True,,,,,,,,,0,601852.0,4,2,100000,1,0,0,1,0,1,0,49685029,Phòng gia đình có ban công (Family Room with Balcony),Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),Bà Rịa
4,0,1,0,0,0,0,0,0,0,0,1,20.0,ngoai troi,1,True,True,,,,,,,,0,425926.0,2,0,100000,1,0,0,0,0,1,0,65481766,Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony),Baly Hotel Bà Rịa City (Baly Hotel Ba Ria City),Bà Rịa
5,1,0,1,0,0,0,0,0,0,0,2,35.0,thanh pho,1,True,,,True,,,,,,0,1450000.0,2,0,204120,0,0,0,1,0,0,0,5808626,Phòng Studio Executive (Studio Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
5,1,0,1,0,0,0,0,0,0,0,2,35.0,thanh pho,1,True,,,True,,,,,,0,1810000.0,2,0,100000,0,0,0,1,0,0,1,5808626,Phòng Studio Executive (Studio Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
5,1,0,1,0,0,0,0,0,0,0,2,35.0,thanh pho,1,True,,,True,,,,,,0,1630000.0,1,0,100000,0,0,0,1,0,0,1,5808626,Phòng Studio Executive (Studio Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
6,1,0,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,True,,,True,True,,,,,0,1650000.0,2,0,204120,0,0,0,1,0,0,0,5808626,Phòng Studio Premier (Studio Premier),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
6,1,0,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,True,,,True,True,,,,,0,2010000.0,2,0,100000,0,0,0,1,0,0,1,5808626,Phòng Studio Premier (Studio Premier),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
6,1,0,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,True,,,True,True,,,,,0,1830000.0,1,0,100000,0,0,0,1,0,0,1,5808626,Phòng Studio Premier (Studio Premier),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
7,1,0,0,0,0,0,0,0,0,0,1,54.0,thanh pho,1,True,,,True,,,,,,0,1800000.0,2,0,204120,0,0,0,1,0,0,0,5808626,One Bedroom Deluxe,Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
7,1,0,0,0,0,0,0,0,0,0,1,54.0,thanh pho,1,True,,,True,,,,,,0,2160000.0,2,0,100000,0,0,0,1,0,0,1,5808626,One Bedroom Deluxe,Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
7,1,0,0,0,0,0,0,0,0,0,1,54.0,thanh pho,1,True,,,True,,,,,,0,1980000.0,1,0,100000,0,0,0,1,0,0,1,5808626,One Bedroom Deluxe,Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
8,1,0,0,0,0,0,0,0,0,0,1,60.0,thanh pho,1,True,,,True,True,,,,,0,1950000.0,2,0,204120,0,0,0,1,0,0,0,5808626,Phòng Thương Gia Một Phòng Ngủ (One Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
8,1,0,0,0,0,0,0,0,0,0,1,60.0,thanh pho,1,True,,,True,True,,,,,0,2310000.0,2,0,100000,0,0,0,1,0,0,1,5808626,Phòng Thương Gia Một Phòng Ngủ (One Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
8,1,0,0,0,0,0,0,0,0,0,1,60.0,thanh pho,1,True,,,True,True,,,,,0,2130000.0,1,0,100000,0,0,0,1,0,0,1,5808626,Phòng Thương Gia Một Phòng Ngủ (One Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
9,1,0,0,0,0,0,0,0,0,0,1,63.0,thanh pho,1,True,,,True,,,,,,0,2050000.0,2,0,204120,0,0,0,1,0,0,0,5808626,One Bedroom Premier,Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
9,1,0,0,0,0,0,0,0,0,0,1,63.0,thanh pho,1,True,,,True,,,,,,0,2410000.0,2,0,100000,0,0,0,1,0,0,1,5808626,One Bedroom Premier,Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
9,1,0,0,0,0,0,0,0,0,0,1,63.0,thanh pho,1,True,,,True,,,,,,0,2230000.0,1,0,100000,0,0,0,1,0,0,1,5808626,One Bedroom Premier,Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
10,1,0,1,0,0,0,0,0,0,0,2,71.0,thanh pho,2,True,,,True,True,,,,,0,2250000.0,4,0,204120,0,0,0,1,0,0,0,5808626,Hai Phòng Ngủ Thương Gia (Two Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
10,1,0,1,0,0,0,0,0,0,0,2,71.0,thanh pho,2,True,,,True,True,,,,,0,2610000.0,2,0,100000,0,0,0,1,0,0,1,5808626,Hai Phòng Ngủ Thương Gia (Two Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương
11,0,1,0,0,0,0,0,0,0,0,1,21.0,khong co cua so,0,,True,True,True,,,,,,0,557535.0,2,0,100000,1,0,0,1,0,1,1,10613675,Phòng Tiêu Chuẩn - Giường Đôi (Standard - Double),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),Bình Dương
12,1,0,0,0,0,0,0,0,0,0,1,32.0,duong pho,0,,True,True,True,,,True,,,0,840956.0,2,0,100000,1,0,0,1,0,1,1,10613675,Phòng Executive (Executive Room),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),Bình Dương
12,1,0,0,0,0,0,0,0,0,0,1,32.0,duong pho,0,,True,True,True,,,True,,,0,853616.0,2,0,100000,1,0,0,1,0,1,1,10613675,Phòng Executive (Executive Room),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),Bình Dương
13,0,0,1,0,0,0,0,0,0,0,1,25.0,,0,,True,True,True,,True,True,,,0,929657.0,3,0,100000,1,0,0,1,0,1,1,10613675,Phòng Superior 3 Người (Superior Triple),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),Bình Dương
13,0,0,1,0,0,0,0,0,0,0,1,25.0,,0,,True,True,True,,True,True,,,0,941797.0,3,0,100000,1,0,0,1,0,1,1,10613675,Phòng Superior 3 Người (Superior Triple),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),Bình Dương
14,0,1,0,0,0,0,0,0,0,0,1,20.0,thanh pho,1,True,True,,True,True,,,,,0,434262.0,2,0,100000,0,0,0,1,0,1,0,78191120,Giường Lớn Cao Cấp (Superior King),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
14,0,1,0,0,0,0,0,0,0,0,1,20.0,thanh pho,1,True,True,,True,True,,,,,0,745946.0,2,0,100000,0,0,0,1,0,1,0,78191120,Giường Lớn Cao Cấp (Superior King),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
15,0,0,1,0,0,0,0,0,0,0,1,20.0,thanh pho,0,,True,,True,,,,,,0,494856.0,2,0,100000,0,0,0,1,0,1,0,78191120,Superior 2 giường (Superior Twin),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
16,0,1,0,0,0,0,0,0,0,0,1,30.0,thanh pho,0,,True,True,True,,,,,,0,494856.0,2,0,100000,0,0,0,1,0,1,0,78191120,Deluxe hướng thành phố (Deluxe City View),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
17,0,0,1,0,0,0,0,0,0,0,1,40.0,thanh pho,0,,,True,True,,,,,,0,581065.0,2,0,100000,0,0,0,1,0,1,0,78191120,Phòng Deluxe 2 Giường đơn (Deluxe Twin),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
18,0,0,0,0,0,0,0,0,0,0,1,45.0,thanh pho,0,,,True,True,,,,,,0,741882.0,2,0,100000,0,0,0,1,0,1,0,78191120,Phòng Deluxe Executive (Deluxe Executive Room),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
19,0,0,1,0,0,0,0,0,0,0,1,20.0,ngoai troi,1,,True,True,,True,True,,,,0,794595.0,2,0,100000,0,0,0,1,0,1,0,78191120,Phòng Superior 2 giường đơn (Superior Twin Room),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
20,1,0,0,0,0,0,0,0,0,0,1,30.0,ngoai troi,1,,True,True,,True,True,,,,0,810811.0,2,0,100000,0,0,0,1,0,1,0,78191120,Phòng Loại Sang (Deluxe),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
21,0,0,1,0,0,0,0,0,0,0,1,40.0,ngoai troi,1,,True,True,,True,True,,,,0,891892.0,2,0,100000,0,0,0,1,0,1,0,78191120,Phòng Lớn 2 Giường Đơn (Large Twin Room),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
22,0,1,0,0,0,0,0,0,0,0,1,45.0,ngoai troi,1,,True,True,,True,True,,,,0,1135136.0,2,0,100000,0,0,0,1,0,1,0,78191120,Suite Executive (Executive Suite),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương
23,1,0,0,0,0,0,0,0,0,0,1,18.0,ngoai troi,1,,True,,,,,,,,0,335629.0,2,0,100000,1,0,0,1,0,1,0,67742118,Phòng Đôi (Double Room),Khách sạn Khang Điền (Khang Đien Hotel),Bình Dương
23,1,0,0,0,0,0,0,0,0,0,1,18.0,ngoai troi,1,,True,,,,,,,,0,388889.0,2,0,100000,1,0,0,1,0,1,0,67742118,Phòng Đôi (Double Room),Khách sạn Khang Điền (Khang Đien Hotel),Bình Dương
24,0,0,1,0,0,0,0,0,0,0,1,22.0,ngoai troi,1,,True,,,,,,,,0,468343.0,2,0,100000,1,0,0,1,0,1,0,67742118,Phòng Hai Giường Đơn (Twin Room),Khách sạn Khang Điền (Khang Đien Hotel),Bình Dương
25,0,0,1,1,0,0,0,0,0,0,1,45.0,ngoai troi,1,,True,,,,,True,,,0,703704.0,2,0,100000,1,0,0,1,0,1,0,67742118,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),Khách sạn Khang Điền (Khang Đien Hotel),Bình Dương
