hotel_id,hotel_name,region,address,district
71897952,Nha Nghi Nhung - Nhung Motel,Bà Rịa,73 Đoàn Thị Điểm,Bà Rịa
49685029,Nhà nghỉ Ruby Bà Rịa (Ruby Motel Bà Rịa),Bà Rịa,KDC Baria City Gate,Long Huong Ward
65481766,Baly Hotel Bà Rịa City (Baly Hotel Ba Ria City),Bà Rịa,QL51,Bà Rịa
5808626,Citadines Central Bình Dương (Citadines Central Binh Duong),Bình Dương,Số 328C,Đại lộ B nh Dương
10613675,KHÁCH SẠN DIAMOND (DIAMOND HOTEL),Bình Dương,153 Hoang Van Thu Street,Thủ Dầu Một
78191120,Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),Bình Dương,80 Đ. D8,Chánh Nghĩa
67742118,Khách sạn Khang Điền (Khang Đien Hotel),Bình Dương,An Dương Vương,Hòa Phú
37848723,Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương,Housing Area 19-8 Hoa Cuc Phuong - 72C,Hoa Cúc Phương - 72C
39821588,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương,10B,đại lộ Hữu Nghị
64540148,Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương,Số 68 đường L Duẩn,Phường B nh Dương
479494,The Mira Hotel,Bình Dương,555B,Đại lộ Bình Dương
39830693,Căn hộ The Emerald Golf View (The Emerald Golf View Apartment),Bình Dương,68 Đại lộ Bình Dương,Lái Thiêu
5396372,The Mira Boutique Hotel,Bình Dương,318A Binh Duong Boulevard,Thủ Dầu Một
25559635,Fairfield by Marriott Nam Bình Dương (Fairfield by Marriott South Binh Duong),Bình Dương,No. 5 Huu Nghi Avenue,Vietnam - Singapore Industrial Park (VSIP)
80191425,Nhà nghỉ cao cấp NP (Np Luxury Motel),Bình Dương,Đường Thuận Giao 16,Thuận Giao
1202485,Khách sạn Becamex New City (Becamex Hotel New City),Bình Dương,số B2,Đường H ng Vương
66152104,Khách sạn An Lộc (An Lộc Hotel),Bình Dương,40 Đường D3,Hiệp Th nh
51816388,HIIVE by fusion Thành phố Mới Bình Dương - VSIP 2 (HIIVE by fusion Binh Duong New City - VSIP 2),Bình Dương,32A7,đường Tạo Lực 5
67419926,Căn hộ dịch vụ ORA - Thành phố mới Bình Dương (ORA Serviced Apartments - Binh Duong New City),Bình Dương,20 đường DA7,khu Phố 2
561997,Khách Sạn Long Bảo Châu (Long Bao Chau Hotel),Bình Dương,Số 9,Đường D10
61697133,Happy One Central,Bình Dương,38A,113
7520557,Nữ Hoàng (Elizabeth),Bình Dương,17/41 Trần Văn Ơn,Thủ Dầu Một
38746777,Amanda Boutique - Căn hộ dịch vụ & Khách sạn Bình Dương (Amanda Boutique - Serviced Apartment & Hotel Binh Duong),Bình Dương,38 Duong D4,KDC Chanh Nghia
527777,Becamex Hotel Thu Dau Mot,Bình Dương,Becamex Hotel,số 230 Đại Lộ B nh Dương
22807385,Hồ Tây Hotel (Ho Tay Hotel),Bình Dương,132 Đường Hoàng Văn Thụ,Thủ Dầu Một
27753977,Khách sạn Khải Hoàn (Khai Hoan Hotel),Bình Dương,ĐƯỜNG TC1 KHU ĐÔ THỊ MỸ PHƯỚC 2 THỊ XÃ BẾN CÁT TỈNH BÌNH DƯƠNG,Bến Cát
41243100,Khách sạn Hoàng Minh Châu Mỹ Phước 3 (Hotel Hoang Minh Chau My Phuoc 3),Bình Dương,No. 39,NE8 Street
6592834,Spring Hotel,Bình Dương,23D,N2 street
45902478,Khách sạn Dạ Lan (Khach san Da Lan),Bình Dương,Số 46,Khu dân chư 19/8
2513138,Hung Phuoc Hotel,Bình Dương,43-44-45 D1 Street,Industrial Zone My Phuoc 1 Ben Cat
47144675,Nhà nghỉ VENUS 6 (Nhà Nghỉ VENUS 6(VENUS 6 Hotel)),Bình Dương,No. 116,Tran Phu Road
48051693,Thủy Quỳnh hotel (Thuy Quynh hotel),Bình Dương,Đường tỉnh 744,Bến Cát
78472374,Khách sạn Summer (SUMMER HOTEL),Bình Dương,96a Lê Hồng Phong,Tân Đông Hiệp
32790491,Căn hộ cao cấp Bcons Garden (Bcons Garden Luxury Apartment),Bình Dương,25A Phạm Hữu Lầu,Dĩ An Bcons Garden
21585838,Khách sạn Hoàng Hùng (Hoang Hung Hotel),Bình Dương,7/79 Number 10 Street,Di An administrative center
44688885,Nhà Nghỉ Tuyết Minh (Nha Nghi Tuyet Minh),Bình Dương,8 NA3,Bến Cát
41771557,Mia Hotel (Feliz Hotel Binh Duong),Bình Dương,80 Đường D8,Thủ Dầu Một
67746367,Khách sạn Khang Điền 2,Bình Dương,445 Đ. Nguyễn Văn Trỗi,Thủ Dầu Một
30507403,Vạn Huệ Homestay Bình Dương (Van Hue Homestay Binh Duong),Bình Dương,5/12C Đường Bùi Hữu Nghĩa,Khu Phố Bình Đức 2
72814400,Khách sạn LyLy 3 (Khach san LyLy 3),Bình Dương,58 Đ. NA1,Thuận An
78189963,Khách sạn Thọ Lập 3 Feliz (Thọ Lập 3 Feliz 寿立商旅酒店),Bình Dương,Đường D32,KDC Việt Sing
55477674,Khách sạn Minh Thư (Minh Thư Hotel),Bình Dương,Đ. DA 7,Làng chuyên gia Oasis
5780603,Khách sạn Trần Long Bình Dương (TRAN LONG BINH DUONG),Bình Dương,06-07,UNITOWN
25134310,Anhkhoa hotel Mỹ Phước (Anhkhoa hotel My Phuoc),Bình Dương,KP3 Đường DA01-01-KCN Mỹ Phước,phường Mỹ Phước
517570,Kim Bang Binh Duong Hotel,Bình Dương,22 Đường Trần Phú,Phường Chánh Nghĩa
51973678,Khách sạn CitiGo (CitiGo HOTEL),Bình Dương,Số 9,Đường số 13
36627918,Khách sạn Băng Boutique (BĂNG BOUTIQUE HOTEL),Bình Dương,No. 29,Tran Phu Street
45049879,Khách sạn Thanh Tùng A2 (Hotel Thanh Tùng A2),Bình Dương,176 GS3,Đông Hoà Hotel Thanh Tùng
42822207,Happy 2 Hotel Bình Dương (Happy 2 Hotel Binh Duong),Bình Dương,79 Đường NK9,Khu DC Ấp 2
62514499,Khách sạn Thanh Hằng (Thanh Hang Hotel),Bình Dương,N6 5A,TT. Lai Uyên
60535333,Khách sạn Phi Long 2 Thủ Dầu Một (Phi Long 2 Hotel Thu Dau Mot ),Bình Dương,No. 15/12,Alley 31
4210278,Hoang Phuc Hotel,Bình Dương,Vo Van Kiet,Hòa Phú
74448281,KHÁCH SẠN MlLAN (KHACH SAN MlLAN),Bình Dương,Dĩ An,Dĩ An
75561452,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Bến Cát (Dori House Honas)",Bình Dương,Số 32–34,đường Bình Thung
47676608,Khách sạn Lucky Life (Lucky life hotel ),Bình Dương,D5A,kp4
66736330,Khách sạn Phương Anh (Phương Anh Hotel),Bình Dương,ĐT743,Dĩ An
37968433,Khách sạn Thịnh Gia (Thịnh Gia Hotel),Bình Dương,Lo o95-96A,duong NF1
37718196,Khách sạn Marina Bình Dương (Marina Hotel Bình Dương),Bình Dương,150 Nguyễn Hữu Cảnh,phường Phú Thọ
61415768,Khách Sạn Đức Toàn (Khach San Đuc Toan),Bình Dương,2/B2 Bình Hoà 24,Khu Dân Cư Đồng An
65492084,Khách sạn Căn hộ dịch vụ Ruby Thủ Dầu Một,Bình Dương,137 Đường D,KDC Ch nh Nghĩa
50419039,Căn hộ cao cấp The Emerald Golf View (The Emerald Golf View Luxury Apartment),Bình Dương,No. 68 Binh Duong Avenue,Thuan An
1590651,Bideco Hotel,Bình Dương,131 Tran Phu,Chanh Nghia Ward
21724717,Nữ Hoàng (Elizabeth),Bình Dương,17/41 Trần Văn Ơn,Thủ Dầu Một
773934,khách sạn Âu Lạc (Au Lac Hotel),Bình Dương,Đường DA 1-2,Mỹ Phước 2
666001,Nhà hàng khách sạn Phạm Vân Sakura (Japanese Restaurant and Hotel Sakura),Bình Dương,53/1A Đại lộ Bình Dương,Phường Thuận Giao
55771087,Khách sạn Minh Phương Thủ Dầu Một (Minh Phương - Khách sạn Thủ Dầu Một Bình Dương),Bình Dương,24 Đường D4,Khu phố 3
76607961,Khách sạn và Căn hộ Hoàng Dũng by THC Group (Hoang Dung Hotel and Apartment by THC Group),Bình Dương,1a Đường Bình Hòa 24,Khu Phố
34174204,Ruby Hotel - Tân Uyên - Bình Dương (Ruby Hotel - Tan Uyen - Binh Duong),Bình Dương,Đường số 1,Khu phố 1
263318,Thien Ha Hotel,Bình Dương,Số 58 Đường D9,KDC Chanh Nghĩa
666016,Hoang Yen Hotel Thu Dau Mot,Bình Dương,12/66 Nguyễn Chí Thanh,Ấp 6
